,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UC7Q1wQXsdCOs1OakD7yb-TA,fm1e8SThsR0,2017-09-04T13:03:02Z,Rani-ki-Vav,"Rani ki Vav (The Queen's Stepwell) is a wonderful example of a Royal Step Well near Patan, Gujarat, which was built between 1022-1063 AD.  It is located on the banks of Saraswati River and was built as a memorial to an 11th century AD king Bhimdev I. Rani ki vav was built in the complex Maru-Gurjara architectural style with an inverted temple and seven levels of stairs and holds more than 500 principal sculptures.

Connect with us at:
https://www.facebook.com/gujtourism
https://twitter.com/gujarattourism
https://google.com/+gujarattourism
http://www.pinterest.com/gujtourism/
http://instagram.com/gujarattourism
https://soundcloud.com/gujarat-tourism",1018711,12516,192
1,UC7Q1wQXsdCOs1OakD7yb-TA,BNJzVUGTb6s,2020-11-06T12:25:41Z,Road to Remember - Jamnagar -  Janki Bodiwala,"Follow us at : http://bit.ly/38GSH8A

Connect with us at: 

https://www.facebook.com/gujtourism
https://twitter.com/gujarattourism
http://www.pinterest.com/gujtourism/
http://instagram.com/gujarattourism
https://soundcloud.com/gujarat-tourism",836929,26598,816
2,UC7Q1wQXsdCOs1OakD7yb-TA,M-UgeX1v9j8,2015-10-06T09:09:52Z,"9 Nights of Divine Celebration- Navratri, Gujarat","Come celebrate Navratri in Gujarat, the vivacious festival promises nine days filled with fun, frolic, dance and festivities all around.

Connect with us at:
https://www.facebook.com/gujtourism
https://twitter.com/gujarattourism
https://google.com/+gujarattourism
http://www.pinterest.com/gujtourism/
http://instagram.com/gujarattourism
https://soundcloud.com/gujarat-tourism",691204,544,13
3,UC7Q1wQXsdCOs1OakD7yb-TA,MjXi68QIJUk,2017-09-04T13:04:29Z,RannUtsav,"Rann Utsav is cradled in the largest salt marsh of the world, “The Great Rann of Kutch”. It is a revival of local artisans, folk artists & musicians of Kutch, which echoes for over a period of three months.

Connect with us at:
https://www.facebook.com/gujtourism
https://twitter.com/gujarattourism
https://google.com/+gujarattourism
http://www.pinterest.com/gujtourism/
http://instagram.com/gujarattourism
https://soundcloud.com/gujarat-tourism",382925,817,15
4,UC7Q1wQXsdCOs1OakD7yb-TA,tpforU_YrZc,2017-09-20T07:54:32Z,A surreal experience awaits you at Dunny Point!,"Dunny Point: An ecotourism site of Gujarat surrounded by sea and rich marine life! Experience adventure and nature at its best.
Connect with us at:
https://www.facebook.com/gujtourism
https://twitter.com/gujarattourism
https://google.com/+gujarattourism
http://www.pinterest.com/gujtourism/
http://instagram.com/gujarattourism
https://soundcloud.com/gujarat-tourism",244435,608,13
5,UC7Q1wQXsdCOs1OakD7yb-TA,2EESnNYCkZg,2015-12-29T11:02:54Z,Rann Utsav - English,"18th November - 2015 to 29th February - 2016, For Booking please visit www.gujarattourism.com
Venue : White Rann, Village Dhordo, 
Kutch, Gujarat",237914,89,3
6,UC7Q1wQXsdCOs1OakD7yb-TA,mNJCULXHU-c,2017-11-10T09:43:16Z,Picturesque White Desert welcomes you all to the celebrations at RannUtsav,"As the festivity lights up the sky and land alike, during Rann Utsav, it seems like nature itself is rejoicing with the wonder it has created. Rann Utsav 2017 has commenced on 1st November 2017 and will continue till 20th February 2018. 

Connect with us at:
https://www.facebook.com/gujtourism
https://twitter.com/gujarattourism
https://google.com/+gujarattourism
http://www.pinterest.com/gujtourism/
http://instagram.com/gujarattourism
https://soundcloud.com/gujarat-tourism",232499,136,7
7,UC7Q1wQXsdCOs1OakD7yb-TA,KqVr9-aOLjk,2012-09-28T09:06:41Z,Ambaji Mata Temple - Shakti Peeth of India,"Watch the Khushboo of Bhakhi ki... Situated on the foothills of Aravalli, Ambaji mata temple is a major Shakti Peeth of India. Khushboo Gujarat Ki - a Gujarat Tourism campaign video presented by Amitabh Bachchan.",224612,4509,111
8,UC7Q1wQXsdCOs1OakD7yb-TA,00M83mZ--7E,2017-09-04T13:01:45Z,Modhera Sun Temple,"The Sun Temple, Modhera (Gujarat) was built in 1026 AD by King Bhimdev of the Solanki dynasty and is dedicated to Lord Surya, the Sun God of Hinduism. Solankis were considered to be Suryavanshis, or descendants of Sun god. The temple was so designed that the first rays of the sun fell on the image of Surya, the Sun God, at the time equinoxes. The Modhera sun temple is situated on the bank of the river Pushpavati, 25 km from Mehsana and 102 km from Ahmedabad.

Connect with us at:
https://www.facebook.com/gujtourism
https://twitter.com/gujarattourism
https://google.com/+gujarattourism
http://www.pinterest.com/gujtourism/
http://instagram.com/gujarattourism
https://soundcloud.com/gujarat-tourism",204796,2049,68
9,UC7Q1wQXsdCOs1OakD7yb-TA,PL6lVxyPNa0,2020-11-09T06:36:27Z,Road To Remember -  BALASINOR -  Kinjal Rajpriya,"Follow us at : http://bit.ly/38GSH8A

Connect with us at: 

https://www.facebook.com/gujtourism
https://twitter.com/gujarattourism
http://www.pinterest.com/gujtourism/
http://instagram.com/gujarattourism
https://soundcloud.com/gujarat-tourism",200922,6167,193
10,UC7Q1wQXsdCOs1OakD7yb-TA,ZCVDfL6SSGs,2015-12-29T11:12:22Z,Rann Utsav Hindi,"18th November, 2015 to 29th February, 2016 For booking please visit www.gujarattourism.com",188009,82,1
