,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCMxJPchGLE_CJ1MJbJy-xDQ,djjl_6n4ef0,2018-06-30T12:26:37Z,The Maharani of Manhattan | Luxury |  India,"Embark on a fascinating journey through India, experience its splendid culture and traditions, and discover the true spirit of luxury. #FindTheIncredibleYou #IncredibleIndia 

We are here too!
Follow us on Twitter - https://twitter.com/incredibleindia
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia

Visit us at  https://www.incredibleindia.org",40607118,3307,13
1,UCMxJPchGLE_CJ1MJbJy-xDQ,xCIlrrPY5Dk,2018-06-12T14:41:37Z,The Sanctuary In Paris | Wildlife | India,"India is home to a rich and diverse wildlife including the Bengal Tiger, Asiatic Lion, One-horned Rhinoceros, Indian Elephant, and many more. Get up-close with the wild, experience a different side of India!  #FindTheIncredibleYou #IncredibleIndia

We are here too!
Follow us on Twitter - https://twitter.com/incredibleindia
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia

Visit us at https://www.incredibleindia.org",37578023,1831,14
2,UCMxJPchGLE_CJ1MJbJy-xDQ,25DmP3geQO4,2018-08-24T15:05:15Z,India - The Land of Buddha,"Embrace the path to peace, tranquillity and spiritual growth in #IncredibleIndia

We are here too!
Follow us on Twitter - https://twitter.com/incredibleindia
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia

Visit us at  https://www.incredibleindia.org",36357210,1622,2
3,UCMxJPchGLE_CJ1MJbJy-xDQ,nbsEgSvy4jQ,2018-08-13T06:12:51Z,The Masala Masterchef | Cuisine | India,"What makes Indian cuisine the world's favourite? Perhaps, there's a lot more to Indian food than its colours, smells and flavours. The secret lies in the joy with which the food is cooked and the love with which it is served that leaves an indelible impression on your heart. #FindTheIncredibleYou #IncredibleIndia

We are here too!
Follow us on Twitter - https://twitter.com/incredibleindia
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia

Visit us at  https://www.incredibleindia.org",17753746,1733,12
4,UCMxJPchGLE_CJ1MJbJy-xDQ,aW35OAPJlas,2018-07-23T06:30:17Z,The Reincarnation of Mr. & Mrs. Jones | Ayurveda | India,"Experience rebirth of a different kind, in #IncredibleIndia #FindTheIncredibleYou 

We are here too!
Follow us on Twitter - https://twitter.com/incredibleindia
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia

Visit us at  https://www.incredibleindia.org",15849267,993,5
5,UCMxJPchGLE_CJ1MJbJy-xDQ,0HzvmiuOaX4,2017-09-27T05:00:01Z,Travelling in India ft. Travel Blogger Clint Johnston,"As a travel blogger, Clint Johnston often travels across the world, but ask him about India and he will tell you how charmed he is with this land. The cruise across the backwaters, the food, the art, the culture and of course the endearing wildlife - he loves it all. And could keep coming back for more. #IncredibleIndia 

We are here too!
Follow us on Twitter - https://twitter.com/incredibleindia
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia

Visit us at https://www.incredibleindia.org",4778019,285,2
6,UCMxJPchGLE_CJ1MJbJy-xDQ,5gbLSceucs4,2020-02-12T08:15:19Z,Qutub Minar | New Discovery,"Walk in and witness the tower of victory, the wonder of the tallest brick minaret in the world - Qutub Minar. #IncredibleIndia

----
We are here too! 
Follow us on Twitter - https://twitter.com/incredibleindia 
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia 

Visit us at https://www.incredibleindia.org",4618608,173,0
7,UCMxJPchGLE_CJ1MJbJy-xDQ,wO6HVNfUbPE,2020-08-25T08:26:47Z,DudhSagar WaterFalls | Goa,"Experience rain in the air like never before as you travel along the bridge connecting Karnataka and Goa, sitting inside the train, cupping hot tea, as the train takes you to your destination, while Dudhsagar Falls sing monsoonal downpour in the Western Ghats. A heavenly place with heavy forests and heavier waterfalls, it’s hard to discern heaven from earth. Catch the magical glimpse of Dudhsagar Falls in Indian state of Goa and don’t forget to share your experience (If you have ever visited) in comments below. 

VC:  Jithin Ronez 
Instagram Handle: https://instagram.com/___wild_owl_?igshid=1hb4jkj58iod5

We are here too! 
Follow us on Twitter - https://twitter.com/incredibleindia 
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia 

Visit us at https://www.incredibleindia.org",3964220,106694,287
8,UCMxJPchGLE_CJ1MJbJy-xDQ,1NVqjsmZxRg,2017-11-20T07:05:28Z,Yoga | Incredible India,"Yoga has the power to rejuvenate the body, mind and soul. And what better place to experience it than in the land where it originated? #Yoga #IncredibleIndia

We are here too!
Follow us on Twitter - https://twitter.com/incredibleindia
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia

Visit us at https://www.incredibleindia.org",2643413,670,2
9,UCMxJPchGLE_CJ1MJbJy-xDQ,JqVojFIc0vk,2018-11-14T11:17:08Z,Darjeeling Himalayan Railway -  Poetry in Motion  | Heritage | India,"Embark on a rail journey through Darjeeling and soak up the spellbinding views. Take a journey through history and back! #IncredibleIndia

We are here too! 
Follow us on Twitter - https://twitter.com/incredibleindia 
Follow us on Instagram - https://www.instagram.com/incredibleindia Like us on Facebook - https://www.facebook.com/incredibleindia 

Visit us at https://www.incredibleindia.org",2535793,705,1
10,UCMxJPchGLE_CJ1MJbJy-xDQ,mnHDGuPET-Q,2019-02-12T05:39:59Z,The City of Legends - Bhubaneshwar | India,"Here, sculptures speak a million words, the rhythms of Odissi resound through the air, and surprises await you at every turn. Discover Bhubaneshwar, where every moment unveils a world of inspiration. #IncredibleIndia

For more info visit https://bit.ly/2NDNAfy

We are here too! 
Follow us on Twitter - https://twitter.com/incredibleindia 
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia 

Visit us at https://www.incredibleindia.org",1984870,298,0
11,UCMxJPchGLE_CJ1MJbJy-xDQ,HO3QwtjyAhA,2021-08-12T10:59:39Z,Attari Border | Punjab,"Marking the occasion of Independence Day’21, Incredible India hereby shares the visual of Beating Retreat ceremony, held at Attari Border, Punjab wherein the representation of the patriotic fervour takes place. This ceremony used to take place every evening (prior to pandemic) immediately before sunset at the border. It is also one of the most visited places in Punjab.


Note: This video was shot during pre-covid times.

#IndependenceDay2021 #AzadiKaAmritMahotsav
#IndiaAt75 #DekhoApnaDesh

VC: Jesus Diaz Carazo ( https://instagram.com/jesusfromspain?utm_medium=copy_link )",1721165,67001,284
12,UCMxJPchGLE_CJ1MJbJy-xDQ,iNNSxzjXKNo,2017-09-27T05:00:01Z,Indian Cuisine ft. Culinary Expert Kylee Newton,"Join Kylee Newton, a culinary expert on her flavour journey across India as she discovers the fieriest of chillies and uses of unique spices. #IncredibleIndia

We are here too!
Follow us on Twitter - https://twitter.com/incredibleindia
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia

Visit us at https://www.incredibleindia.org",1718862,299,1
13,UCMxJPchGLE_CJ1MJbJy-xDQ,8eAFATdMXeY,2019-03-04T09:27:40Z,Churches & Convents - Old Goa | India,"Here, divinity meets architectural magnificence. Explore the incredible churches and convents of Old Goa, a place of mortal remains and immortal stories. #IncredibleIndia #India 

For more info visit https://bit.ly/2UjRqNE

We are here too! 
Follow us on Twitter - https://twitter.com/incredibleindia 
Follow us on Instagram - https://www.instagram.com/incredibleindia
Like us on Facebook - https://www.facebook.com/incredibleindia 

Visit us at https://www.incredibleindia.org",1094861,203,1
