,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UC0EWL3FL95mgUPUtlFwu2bw,6qYsux_DtBI,2019-04-07T15:28:49Z,A Winter Storm in Changthang | Living with the Changpas of Ladakh - 4/6,"The Changpas have a complicated relationship with snowfall. They need good winter snow for the grass to grow well during the summers. But too much snowfall can create  trouble for them by burying the grass necessary for the survival of their animals.

A winter storm is the worst nightmare for the Changpas. And on the 3rd week of my living with the Changpas a winter storm is exactly what we got.

******
Soundtracks : 

A Place Beyond Belief by SLPSTRM
Intimate by SLPSTRM

I license all my soundtracks from Artlist. Use my referral link below to get 2 extra months free when you sign up (I get 2 extra months as well).

https://artlist.io/Saravana-2206 

******
If possible please consider supporting me on Patreon. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

******
My Camping & Camera kit - https://kit.co/indiainmotion
*******

Follow me on Instagram
https://www.instagram.com/indiainmotion

*",9866984,61942,1631
1,UC0EWL3FL95mgUPUtlFwu2bw,kJB-twGLqvg,2018-12-04T16:28:21Z,A Shepherd's Journey (with English Subtitles),"This short film follows Narender Kaith, a Gaddi shepherd from the Kaobil village in the Shimla district of Himachal Pradesh. Every year he and his fellow Gaddis take a herd of around 1500 sheep and goats across the Bhabha pass from the Kinnaur region of Himachal Pradesh to Spiti. This video is about his life, his journey and the difficulties faced along the way.

I spent about 40 days travelling with the shepherds to make this video. Meeting Narender in the Bhabha valley was a completely random coincidence and I thank my lucky stars for that meeting. We were not that well acquainted on our onward journey from the Bhabha Valley to the Pin Valley. I was camping a bit away from the shepherds and cooking my own food. But we became much closer on the return journey and I was soon eating, sleeping and living in their camps. I was following truly in the footsteps of the nomads!

————
Soundtrack :

Like Clockwork by Kyle Preston

I license all my soundtracks from Artlist. Use my referral link below to get 2 extra months free (I get 2 extra months as well)

https://artlist.io/Saravana-2206 

————
If possible please consider supporting me on Patreon. It is my one regular source of income these days. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

If you are from India then you can try supporting me through Fanmo. It is similar to Patreon, but since it is based in India you will not face any issues with recurring payments that Patreon has.

https://fanmo.in/indiainmotion 

Another simpler method to support me is to become a member of my channel on Youtube. 

https://www.youtube.com/channel/UC0EWL3FL95mgUPUtlFwu2bw/join

Google Pay UPI ID : saravk78@okaxis (for those who prefer one time contributions. Please drop me a comment or message so that I can thank you).

*********
Follow me on Instagramhttps://www.instagram.com/indiainmotion
My Travel Kit : kit.co/indiainmotion

————

Follow me on Instagram
www.instagram.com/indiainmotion",6098809,51423,2387
2,UC0EWL3FL95mgUPUtlFwu2bw,A5jgAv8yA2M,2019-06-23T15:40:12Z,"Winter Life in Pin Valley, Spiti | Story of Todnam - 2/6","Winters in Pin Valley can be described in 3 words. Cold, Windy and White. Life is tough here, but also very beautiful. Even the mundane day to day activities look spectacular in the winter setting. The people, restricted to their homes in the winters, are both cheerful and industrious. They wisely spend their winter downtime by performing various activities and chores that they just woundn't have the time for in the summer months. 

In this episode we will see how the people of Todnam prepare for and live their lives during the harsh winters in Pin Valley.

#Todnam #PinValley #Spiti 

******
All soundtracks recorded onsite in Todnam and Spiti.

I generally license all my soundtracks from Artlist. Use my referral link below to get 2 extra months free when you sign up (I get 2 extra months as well).

https://artlist.io/Saravana-2206 

******
If possible please consider supporting me on Patreon. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

******
My Camping & Camera kit - https://kit.co/indiainmotion
*******

Follow me on Instagram
https://www.instagram.com/indiainmotion

*******

Personally, I feel that places such as Todnam should remain pure and untouched by tourism. But the villagers feel otherwise and feel left out of the tourism boom that places like Mudh experience. It is not really my place to stand in the way of their aspirations. 

If you like to visit Todnam then please get in touch with my friend Nawang Tanzin. It is his dream to open the first homestay in the village. His number is 94186 02537. This is the most I can do and I feel guilty for doing this. Please do not comment/message me asking for more details about the village.",3529113,28645,1080
3,UC0EWL3FL95mgUPUtlFwu2bw,59XT_-dsRE0,2019-03-29T14:27:44Z,A Winter's Day in Changthang | Living with the Changpas of Ladakh - 2/6,"The changpas are a tribe of semi-nomadic people who live in Changthang, the high altitude plains of Ladakh and northern Tibet. Crops do not grow at these high altitudes, so the Changpas survive by raising goats and yaks. It is a hard life as they spend almost every moment days taking care of their animals and processing their produce. 


In this episode we will see what a typical day of a Changpa is like during the winters. Everything from their activities at home, in the village and out in the plains with their animals.

******
Soundtracks : 

A Place Beyond Belief by SLPSTRM
Intimate by SLPSTRM
A Walk Alone by SLPSTRM
Snow Angel by SLPSTRM

I license all my soundtracks from Artlist. Use my referral link below to get 2 extra months free when you sign up (I get 2 extra months as well).

https://artlist.io/Saravana-2206 

******
If possible please consider supporting me on Patreon. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

******
My Camping & Camera kit - https://kit.co/indiainmotion
*******

Follow me on Instagram
https://www.instagram.com/indiainmotion

*",3169942,24787,1459
4,UC0EWL3FL95mgUPUtlFwu2bw,n0oxT5G4drk,2020-06-15T14:30:11Z,A Shepherd's Life | Conversations with a Himalayan Shepherd,"Discussing various aspects of a shepherd's life with a Gaddi Shepherd from Himachal.
 
0:00 Intro
0:18 Annual Migration
1:21 Dera - Shepherds Camp
2:01 Food of the Shepherds
2:39 Mortality of their Animals
3:02 Timepass in Camp
3:19 Camp Responsibilities
3:48 Counting Animals
4:26 Shepherd's Whistle
5:44 Importance of Salt
6:20 Shepherd Dogs
7:26 Sheep vs Goat
8:22 Dividing the Herd
9:10 A Difficult Life
9:42 A Blessed Life
10:23 Future Plans 

This is a follow up to the Shepherd's Journey. We covered a lot of topics while interviewing for that video. Many of these topics were left out in that video, so I decided to make a new one during this lockdown!  Watch the Shepherd's Journey, if you haven't already.

https://www.youtube.com/watch?v=kJB-twGLqvg 

******
Please help add subtitles in your language
http://www.youtube.com/timedtext_video?v=n0oxT5G4drk&ref=share
******

If possible please consider supporting me on Patreon. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

My UPI ID for one time contributions : saravana.kumar@citi

******
My Camping & Camera kit - https://kit.co/indiainmotion
*******

Follow me on Instagram
https://www.instagram.com/indiainmotion

*******",1803397,21109,513
5,UC0EWL3FL95mgUPUtlFwu2bw,GbdrU__tbTE,2023-03-03T14:00:09Z,How Yaks Help a Village Stay Warm - The Untold Story of 'Yak Shing',"Every winter the people of Shaday take their Yaks to collect wood from the forests surrounding their village. This wood collected by the Yaks is called Yak Shing. It is an annual event at the village, one that is vital for their survival during the winter months.  This practice is disappearing all over Ladakh and the Shaday village in Zanskar is the last place where the Yak-Shing is still being collected.

#Shaday #Zanskar #Ladakh 

00:00 Introduction
02:55 Bringing Yaks from the Mountains
06:56 Setting off Yak Shing Collection
09:05 Collecting Wood
11:03 Lunch
12:05 Bringing Wood to the Village
15:35 Conclusion

****** 

Soundtrack :  'A New Story' by SLPSTRM.

I usually license my tracks from Artlist.io. Artlist has the best collection of cinematic soundtracks that are perfect for my videos. You will get 2 months free if you subscribe using this link -- https://artlist.io/Saravana-2206

*********

If possible please consider supporting me on Patreon. It is my only regular source of income these days. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

If you are from India then you can try supporting me through Fanmo. It is similar to Patreon, but since it is based in India you will not face any issues with recurring payments that Patreon has.

https://fanmo.in/indiainmotion 

Another simpler method to support me is to become a member of my channel on Youtube. 

https://www.youtube.com/channel/UC0EWL3FL95mgUPUtlFwu2bw/join

Google Pay UPI ID : saravk78@okaxis (for those who prefer one time contributions. Please drop me a comment or message so that I can thank you).

*********


Follow me on Instagramhttps://www.instagram.com/indiainmotion
My Travel Kit : kit.co/indiainmotion",958974,8073,403
6,UC0EWL3FL95mgUPUtlFwu2bw,n2bkZUyVHZY,2021-08-03T14:00:38Z,The Challenging Winter Life at the Phukthar Monastery in Zanskar,"Winter Life at the Phukthar Monastery. A rare look at a unique way of life isolated from the distractions of the outside world.

#Phukthar #Zanskar #Ladakh

00:00 Intro
01:21 Winter Preparation
02:27 Transporting on Chadar
06:02 Hard Work
07:09 Unbridled Joy
08:05 Dangers of Chadar
08:45 Request for a Road

****** 

If possible please consider supporting me on Patreon. It is my one regular source of income these days. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

Google Pay UPI ID : saravk78@okaxis (for those who prefer one time contributions. Please drop me a comment or message so that I can thank you).

******
My Camping & Camera Gear

Camera : https://amzn.to/3AQycVj
Drone : https://amzn.to/2T60pXp

On Camera Mic : https://amzn.to/3yK5hAp
Wireless Mic : https://amzn.to/3xxG2RW

Full Kit : https://kit.co/indiainmotion 

*******

Follow me on Instagram
https://www.instagram.com/indiainmotion",878210,6075,403
7,UC0EWL3FL95mgUPUtlFwu2bw,WNxGePOiwVU,2019-08-07T14:58:18Z,"The Story of Peas & Yaks | Story of Todnam (Pin Valley, Spiti) - 4/6","It is amazing how something as simple as the pea crop could have such an interesting story behind it.

Introduced some 30 years back, the humble pea has drastically improved the lives and fortunes of the people living in Pin Valley and Spiti. This story of the peas is the story of the synergy between the people of pin valley, their animals and the mountains in their backyard.

******

Soundtrack : Recorded locally in Spiti

I generally license all my soundtracks from Artlist. Use my referral link below to get 2 extra months free when you sign up (I get 2 extra months as well).

https://artlist.io/Saravana-2206 

******
If possible please consider supporting me on Patreon. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

******
My Camping & Camera kit - https://kit.co/indiainmotion
*******

Follow me on Instagram
https://www.instagram.com/indiainmotion

*******

Personally, I feel that places such as Todnam should remain pure and untouched by tourism. But the villagers feel otherwise and feel left out of the tourism boom that places like Mudh experience. It is not really my place to stand in the way of their aspirations. 

If you like to visit Todnam then please get in touch with my friend Nawang Tanzin. It is his dream to open the first homestay in the village. His number is 94186 02537. This is the most I can do and I feel guilty for doing this. Please do not comment/message me asking for more details about the village.",739985,7547,370
8,UC0EWL3FL95mgUPUtlFwu2bw,cKsA0W2KCH0,2020-01-01T15:00:12Z,"Pin Valley's Unique Sunchok Ceremony | Story of Todnam, Spiti - 6/6","Sunchok is a special prayer performed (only) in Pin Valley for the long life and prosperity of a person. It is a grand event with close to a hundred monks and hundreds, even thousands of guests attending.

#Sunchok #PinValley #Spiti

******

Soundtracks : Recorded locally in Spiti

I generally license all my soundtracks from Artlist. Use my referral link below to get 2 extra months free when you sign up (I get 2 extra months as well).

https://artlist.io/Saravana-2206 

******
If possible please consider supporting me on Patreon. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

******
My Camping & Camera kit - https://kit.co/indiainmotion
*******

Follow me on Instagram
https://www.instagram.com/indiainmotion

*******",731791,8150,469
9,UC0EWL3FL95mgUPUtlFwu2bw,ERf6nMG3Gzw,2019-05-22T14:58:19Z,"The Little Village with a Big Heart ♥️ | Story of Todnam, Pin Valley, Spiti - 1/6","This is a story very close to my heart. The story of a village that gave me refuge after a snowstorm. The story of a family that took me in and made me one of their own. The story of a culture changing rapidly with time while also staying true to its roots. The story of one of the most beautiful, harshest places in our country. This is the story of Todnam. The little village with a big heart.

#Todnam #PinValley #Spiti 

******
All soundtracks recorded onsite in Todnam and Spiti.

I generally license all my soundtracks from Artlist. Use my referral link below to get 2 extra months free when you sign up (I get 2 extra months as well).

https://artlist.io/Saravana-2206 

******
If possible please consider supporting me on Patreon. It helps me pay my bills and more importantly allows me to invest in the right kind of gear for my work.

http://www.patreon.com/indiainmotion

******
My Camping & Camera kit - https://kit.co/indiainmotion
*******

Follow me on Instagram
https://www.instagram.com/indiainmotion

*******

Personally, I feel that places such as Todnam should remain pure and untouched by tourism. But the villagers feel otherwise and feel left out of the tourism boom that places like Mudh experience. It is not really my place to stand in the way of their aspirations. 

If you like to visit Todnam then please get in touch with my friend Nawang Tanzin. It is his dream to open the first homestay in the village. His number is 94186 02537. This is the most I can do and I feel guilty for doing this. Please do not comment/message me asking for more details about the village.",665305,10831,777
