,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCGZQ6XS3X6PIrZFBX2c_d_w,GmPuybAzhZY,2018-05-06T09:17:38Z,A Cricket Bat from Kashmir - An overview of all the processes involved in the making!,"A Cricket Bat from Kashmir is famous all over the world. Your Kashmir trip is incomplete if you do not take back a bat with you. But have you ever wondered about the whole process that goes behind the making of this Bat?
In this exclusive video by Jammu & Kashmir Tourism, we present to you an overview of all the processes involved in the making of a Kashmiri bat. We bet you're going to love this cool and informative video! 
Do share it with your friends.",563143,7946,542
1,UCGZQ6XS3X6PIrZFBX2c_d_w,QYnHwzMTwqo,2017-09-23T12:55:54Z,Kashmir: The Warmest Place on Earth,"Kashmir: The Warmest Place on Earth.

We present to you the most stunning feature of Kashmir, the Warmest Place on Earth

NO! Its not about the snowy peaks, gurgling streams and winding treks. Watch this moving film TILL THE END, to discover and celebrate a different side of:

“Kashmir, the #WarmestPlaceOnEarth.“


TRANSLATION (Literal)


Sahibooo...
Ba-ha chaani maayey. 
Emi taap-a kraayey.
Zaayyi kernas hooo.


Sahibo.

This your love.

Is like a strong sunshine.

(It) has wasted me. 

Sahiboo 
kyah kar tse ros ba.
Yath lola naaye.
Zaayyi kernas hooo.


Sahiboo

What do I do, without you. 

With this boat of love
(It) has wasted me.

Sahiboooo,
Yemi chaani shahrek,
Lukh chi 
Vopran chashma wathrawan.
Heraan kernas chani jaaye
Zaayi karnus ba.


Sahibo.

I have heard people of your city.

Spread their eyes for strangers.

But your city has surprised me.

(It) has wasted me.

Zuna gaashi manz,
Yusuf banith chi draakh Dal saaelus.
Laaraan pata ches 
chani tsaaye 
Zaayi kerthas ba.

In moonshine.

When you go to row in Dal Lake. 

Like Yusuf. 

I keep chasing your shadow. 

(It) has wasted me.",480763,13807,1249
2,UCGZQ6XS3X6PIrZFBX2c_d_w,a53YZf69OeA,2018-07-22T13:37:38Z,Here’s presenting our much awaited video: ‘Srinagar - The City of Bridges (Version 2.0)’.,"Here’s presenting our much awaited video: ‘Srinagar - The City of Bridges (Version 2.0)’. 
As promised, this video includes newly constructed bridges as well as the ones that didn’t feature in the previous year’s version.

A brief overview:
Srinagar is also known as the Venice of the East. River Jhelum is an integral part of the old city of Srinagar. Nine bridges span the River Jhelum, and many tiny ones intersect the network of waterways that flow through the old city. These nine bridges are Zero Bridge, Amira Kadal, Budshah Kadal, Habba Kadal, Fateh Kadal, Zaina Kadal, Aali Kadal, Nawa Kadal and Safa Kadal, ‘Kadal’ being the Kashmiri word for bridge. Of these Budshah Bridge and Zero Bridge are the newest; the former having been constructed by the British in this century. Presently, the oldest bridge is Fateh Kadal, too dilapidated for actual use. However, many of the old bridges have been replaced with new concrete bridges and a few new ones have also been added in view of the increasing traffic. The most prominent among these is the Abdullah Bridge, situated near the Tourist Reception Centre.

The view from any of the old city's bridges is wholly and unmistakably Kashmiri. Old brick buildings line the banks. The distinctive pagoda-like roof of a mosque or a shrine enlivens the horizon, and in the muddy water of the River Jhelum, a straggling row of doongas flanks the edges. These boats, with their shingled roofs, are the forerunners of Srinagar’s houseboat. A particular community lives in them. Formerly this community was associated with ferrying people, livestock and food grains along the river. The past still lingers in their lifestyles even if their occupation has changed. Occasionally one may catch sight of a doonga making its stately progress down the river as the owner shifts residence. Doongas are sparsely furnished - virtually no furniture is seen except for the kitchen, which gleams with copper utensils of every description that line the shelves from floor to ceiling.",137291,2546,390
3,UCGZQ6XS3X6PIrZFBX2c_d_w,IY7YB4vCmGA,2018-06-02T13:34:48Z,Watch: Gurez valley like you've never seen it before!,"Watch: Gurez valley like you've never seen it before! 

A trip to Gurez Valley is an unforgettable experience. Located at an attitude of 8,000 feet (2,400 m), the place is a real treat for visitors as you get to see real village life – people still living in log and wooden houses.The stream flowing from Kishan Ganga River and a must-watch Habba Khatoon peak will only help you relieve your mind of the noisy city and its hustle and bustle.

The simple music coming out of the flute of an unseen shepherd tending to his flock will keep you mesmerizedAfter enjoying a travel of 46 kilometers from Bandipore town, the Razdan Pass, which boasts of rolling meadows, welcomes you. Spending some time at this pass makes one to forget everything for a moment. The pass crosses through highest meadow in the journey and is a perfect picnic spot with tall pine trees rising majestically on the ridges. Several acres of rolling meadows on the top seem to be touching the sky while on a rainy day the clouds embrace the placethe forward journey form Razdan Pass is down-slope and an entry into Diwar village of Gurez Valley. Diwar is a plain area surrounded by mountains from all four sides.

In the middle of this plane, Habba Khatoon peak will catch your eyes. It is around this peak that Habba Khatoon used to room around thus named after her. The Diwar village will let you see the real Kashmir as the people especially women still wear traditional Kashmiri dress, houses are wooden mostly erected from big logs and most households have cattle.The Kishan Ganga River flows through the village and is amicable for rafting. The visitors can stay for night also as Tourism Department has constructed beautiful Dak Banglow and Tourist Reception Centre building on the foothills. Gurez Valley has its own market where few hotels have also come up.

HOW TO REACH:
Gurez Valley is at a distance of 123 kilometers from Srinagar and 86 kilometers from the Bandipore district in North Kashmir. From Srinagar, the trip to this picturesque valley in a cab takes 6 to 7 hours. Given the nature of curvy roads carved out of mountains, mostly private transport plies on the route to Gurez. The journey is a treat with pine trees on both sides of the road refreshing visitors with its cool breeze.
Alternatively, you can avail Chopper services from Srinagar/Bandipore at very nominal prices with a total journey duration of not more than 20 mins.

ACTIVITIES
Visit Gurez for travelling, driving, trekking, rafting, cycling, photography, local traditional and cultural values

BEST TIME TO VISIT
June to September is the best time to visit and it remains closed for about six months due to heavy snowing in winters.

#JKTourism",62568,1085,135
4,UCGZQ6XS3X6PIrZFBX2c_d_w,Igr62oMaACM,2017-09-19T13:46:12Z,Fruits of Kashmir,"Jammu & Kashmir Tourism presents another exclusive video, this time on the fruits of Kashmir. 
Jammu & Kashmir is the only Almond and Saffron producing state in the country. Moreover, the state has monopoly in the production of Walnut, Cherry and Apricots. Some of the finest fruits with exceptional taste are grown in the state.
Besides this, the Apples from Kashmir are famous all over the world. In addition to this, the valley produces finest quality of Figs, Apricots, Pears, Nectarines, Kiwis and other fruits.",50689,396,11
5,UCGZQ6XS3X6PIrZFBX2c_d_w,AKFjhOHx9VA,2017-12-23T13:40:46Z,Watch: The magnificent Gangbal lake like never seen before!,"The Gangbal lake is situated at the foothills of Haramukh Mountain in Ganderbal district of Kashmir valley and covers a total area of 167 hectares. Apart from being a very popular trekking spot, its a famous pilgrim site as well. 

Adjacent to Gangbal is another famous lake, the 'Nundkol lake'. Both lakes derive their source from glaciers of Harmukh which is the second highest peak of Kashmir valley and is visible from most of the places in the valley. The altitude of the peak is 5150 metres. Harmukh peak has been climbed many times and only last year it was been climbed by Jammu and Kashmir Mountaineering and Hiking Cub (JKMHC).

Gangbal is one of the important halting stations on the seven lake trek also known as the 'Great Lakes trek'. This trek, which is 65 kms long, is considered as the one the best in the entire Himalayas. The seven lakes trek involves crossing of 3 passes, each over 4000 metres high.

The trek to Gangbal starts from Naranag where the ancient temple dedicated to Lord Buteshwara is located. This ASI monument is being frequented by tourists, pilgrims and archaeologists. 

Gangbal lake was stocked by Britishers with trout fish. Since then the brown trout, and rainbow trout thrives along with the native snow trout. The stream draining the Naranag valley joins river Sindh near Kangan. This stream is known as 'Kanaknaz Naala'. 

How to Reach? 
The Gangabal lake is approached from Srinagar 45 kilometres by road via Ganderbal up to Naranag and then a trek of 12.5 kilometres upslopes leads to the lake, which can be covered by a horse ride or by foot. The shepherds and gujjars can be seen during the trek with their flocks of sheep and goats. Another trek (25 kilometres long) leads to the lake site from Sonamarg via the Vishansar Lake crossing the Nichnai pass ( 4100 meteres). It can also be accessed through a trek from Bandipore via Arin. 
 

Best time to visit  - June to October.",50749,785,68
6,UCGZQ6XS3X6PIrZFBX2c_d_w,1vjGd5hWdUE,2017-01-20T18:54:28Z,"Jammu, Kashmir & Ladakh - Incredible India Ad Campaign",A video from the Incredible India Ad campaign on Jammu and Kashmir,40611,705,52
7,UCGZQ6XS3X6PIrZFBX2c_d_w,R8gkE-JK9fI,2017-09-28T16:24:44Z,It’s Ranbir Kapoor’s birthday today! And he has this to say about Kashmir ! Happy Birthday Ranbir!,"It’s Ranbir Kapoor’s birthday today! And he has this to say about Kashmir !
Happy Birthday Ranbir! Thank you for supporting our campaign. We'd like to invite you to Kashmir and make this birthday of yours a memorable one !",38883,768,57
8,UCGZQ6XS3X6PIrZFBX2c_d_w,qgJqE7-YEl0,2017-11-11T14:09:14Z,Different shades of Autumn in Jammu & Kashmir. We bet you've never see Autumn like this!,"Jammu & Kashmir is an all season destination. The place is exceptionally beautiful in the Autumn season. 
Watch this video to have a glimpse of different shades of Autumn in Jammu & Kashmir. We bet you've never seen Autumn like this! 
Come spend your holidays in this mesmerizing season.",33533,930,98
9,UCGZQ6XS3X6PIrZFBX2c_d_w,tjeZ9vrNwPc,2017-12-02T14:12:04Z,We present to you 'Kokernag' like you've never seen it before!,"In this exclusive video by Jammu & Kashmir Tourism, we present to you 'Kokernag' like you've never seen it before!
Kokernag, located in the Anantnag district of the state Jammu and Kashmir is a beautiful and alluring destination and a big hit among tourists seeking serenity and natural beauty. The place is blessed with amazing natural beauty and is home to the several varieties of plants and flowers.
Being situated at an elevation of 2020 meters above sea level, it is a popular weekend getaway from Srinagar. The most important and well known tourist attraction of the city Kokernag is the Papashudan Nad, the magical and healing spring which lures thousands of tourists to the valley every year. One of the exciting features of the spring is its water, which is very well known because of its unique digestive properties and medicinal value. Kokernag Waterfall, a fresh water spring in Kokernag is another well identified attraction which further adds to its beauty.",28995,582,27
