,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCmiF2GcrQwFeiTdnKJ_023A,2ykryVHiSGo,2020-12-29T09:43:16Z,Kerala Tourism | Change of Air - Mamma's Trip,"The new year is at hand. It’s time to discover new vistas and viewpoints. It’s time to step out into the endless green valleys, refreshing waterfalls, and mist-covered mountains of Kerala. It’s time for a #changeofair",12502401,2294,186
1,UCmiF2GcrQwFeiTdnKJ_023A,g7OmPhkPapE,2021-02-20T05:43:16Z,Kerala Tourism | Love is in the air,"Love is in the air. Cotton clouds that play hide and seek with rolling hills. Languid waterways that stretch for miles. Waves that caress serene shores. Quiet brooks and gushing waterfalls. Charming tea gardens and paddy fields. Give a fairytale backdrop to your love story in God's Own Country. Come, fall in love again. #LoveIsInTheAir💚",9770331,1896,97
2,UCmiF2GcrQwFeiTdnKJ_023A,KXww1tVhA0Q,2023-06-18T06:54:17Z,Saath Saath | Come Together in Kerala,"Open up on the breathtaking beaches, backwaters and hills of God's Own Country. Reconnect with absolute joy and peace. And rediscover that magical sense of togetherness.

#ComeTogetherInKerala #Kerala #KeralaTourism",4833296,67,4
3,UCmiF2GcrQwFeiTdnKJ_023A,R83BlU5nnbs,2015-12-08T14:48:29Z,Signature Video  | Kerala Tourism | Experience God’s Own Country,"Draped in luxuriant green, Kerala allures you with her enchanting beauty and serene atmosphere.  
Come,  step closer, look deeper, and behold! 
Amid all that greenery is the rich embroidery of culture. Each thread is perfumed with the scents of spices and an elegant legacy of traditions. 
Stop. Listen. Everything takes a rhythmic turn here! 
Kerala, God’s Own Country, is more than just a land. It's an experience. 

Win a trip to Kerala, Register Now for the International Children's Painting Competition 2023,  https://www.keralatourism.org/contest/icpc/registration

#LetsTravelKerala #Kerala #KeralaTourism #GodsOwnCountry #VisitKerala #TriptoKerala 

Thank you for watching our video!

You can subscribe to our channel here: https://www.youtube.com/channel/UCmiF2GcrQwFeiTdnKJ_023A

Visit https://www.keralatourism.org/ for latest updates on Kerala

You can also download our apps:
Android: https://play.google.com/store/apps/details?id=org.keralatourism.travelkerala
iOs: https://apps.apple.com/us/app/kerala-tourism-official/id1460526344

#keralatourism #signaturesong #muthalammudithalam #keralavideo #signaturevideo #Kerala #keralatourismvideo #keralathemesong #keralatourismad #keralatraditionalsongs #Travel #YouTube #TravelandTourism",3960707,40282,3074
4,UCmiF2GcrQwFeiTdnKJ_023A,5EEKaGjeOfg,2023-06-19T11:30:04Z,Yeh Dooriyan | Come Together in Kerala | Kerala Tourism,"Take in the green, serene vistas of God's Own Country. Reconnect with absolute joy and peace. And rediscover that magical sense of togetherness.

#ComeTogetherInKerala #Kerala #KeralaTourism",3290422,111,7
5,UCmiF2GcrQwFeiTdnKJ_023A,2SiVXc2liwU,2022-06-14T13:10:34Z,Pack Up For Kerala | Kerala Tourism,"When life’s settled into a dull routine and that old spark is a distant dream, pack up and head for Kerala. Make up for lost time in the hills, backwaters, beaches and forests of God’s Own Country. 

#Forest #Adventure #CoupleGoals #vacation #memories #PackUpForKerala #keralatourism 
Thank you for watching our video!


You can subscribe to our channel here: https://www.youtube.com/channel/UCmiF2GcrQwFeiTdnKJ_023A

Visit https://www.keralatourism.org/ for latest updates on Kerala

You can also download our apps:
Android: https://play.google.com/store/apps/details?id=org.keralatourism.travelkerala
iOs: https://apps.apple.com/us/app/kerala-tourism-official/id1460526344",2222285,1052,8
6,UCmiF2GcrQwFeiTdnKJ_023A,dMEh2UuT8XI,2022-03-24T09:03:41Z,Travel for Good | Kerala Tourism,"When travel is all about the joy of meeting people and discovering togetherness, journeys become milestones in the making of a better world. 

#TravelForGood #KeralaExperiences #KeralaTourism


You can subscribe to our channel here: https://www.youtube.com/channel/UCmiF2GcrQwFeiTdnKJ_023A

Visit https://www.keralatourism.org/ for latest updates on Kerala

You can also download our apps:
Android: https://play.google.com/store/apps/details?id=org.keralatourism.travelkerala
iOs: https://apps.apple.com/us/app/kerala-tourism-official/id146052634",2147462,128,11
7,UCmiF2GcrQwFeiTdnKJ_023A,_gLre31KL2U,2022-03-10T10:25:44Z,Drivecation | Operation Chacko - Part 2 | Kerala Tourism,"Operation Chacko continues with more surprises and extra-special moments. Watch how a drivecation in Kerala brought love, light and laughter in the lives of a group of friends.
#KeralaDriveHolidays #Drivecation #ExploreKerala #TravelForGood #KeralaTourism
Operation Chacko - Part 1: https://youtu.be/ukOHfs9AA9c",2125627,137,18
8,UCmiF2GcrQwFeiTdnKJ_023A,ukOHfs9AA9c,2022-03-03T06:42:35Z,Drivecation |  Operation Chacko - Part 1 | Kerala Tourism,"What happens when friends come together for a drivecation in Kerala? There are scenic views to admire, unexplored places to explore, moments of tranquility to savour.....and there's something more. Watch to discover all about those extra-special moments that bring happiness and joy.
#KeralaDriveHolidays #Drivecation #ExploreKerala #TravelForGood #KeralaTourism
Operation Chacko - Part 2: https://youtu.be/_gLre31KL2U",2035579,149,17
9,UCmiF2GcrQwFeiTdnKJ_023A,JgxUj4NmAas,2022-03-17T07:31:50Z,Travel to Kerala for a brand new start,"Here's to a brand new start and a better world. Come, discover it amidst the tranquil beauty of God’s Own Country.
#TravelForGood #KeralaExperiences #KeralaTourism
You can subscribe to our channel here: https://www.youtube.com/channel/UCmiF2GcrQwFeiTdnKJ_023A

Visit https://www.keralatourism.org/ for latest updates on Kerala

You can also download our apps:
Android: https://play.google.com/store/apps/details?id=org.keralatourism.travelkerala
iOs: https://apps.apple.com/us/app/kerala-tourism-official/id1460526344",1959362,127,5
10,UCmiF2GcrQwFeiTdnKJ_023A,Qu7BhoJWT7E,2021-12-03T08:30:06Z,When family bonds blossom | Kerala Longstays,"When work time does not take away from family time, bonds just keep getting stronger.
#LongStays #KeralaLongstays #Workcation #Family #KeralaTourism",1921879,397,13
11,UCmiF2GcrQwFeiTdnKJ_023A,W1W2BFczyqI,2021-11-25T12:17:24Z,Explore Kerala Longstays with friends | Kerala Longstays,All work and all play! Discover your new work-life balance with Kerala Long Stays. #LongStay #Workcation #Friends #KeralaTourism,1807977,235,18
12,UCmiF2GcrQwFeiTdnKJ_023A,GBVkDfXUSls,2021-12-26T04:30:06Z,Appu's Big Friend | Kerala Tourism,It’s just another day for Appu and his big friend. But it’s an escape from the ordinary for you!,1751738,12176,258
13,UCmiF2GcrQwFeiTdnKJ_023A,bIudqQe83dU,2022-06-14T13:05:20Z,Friendship Goals | Pack Up For Kerala,"When old memories remind you of all that you are missing out on, it’s time to create great new ones in God’s Own Country. Pack up for Kerala and make up for lost time in our beaches, hills, backwaters and forests.

#beach  #FriendshipGoals #vacation #memories #PackUpForKerala #keralatourism 
Thank you for watching our video!


You can subscribe to our channel here: https://www.youtube.com/channel/UCmiF2GcrQwFeiTdnKJ_023A

Visit https://www.keralatourism.org/ for latest updates on Kerala

You can also download our apps:
Android: https://play.google.com/store/apps/details?id=org.keralatourism.travelkerala
iOs: https://apps.apple.com/us/app/kerala-tourism-official/id1460526344",1689109,891,19
14,UCmiF2GcrQwFeiTdnKJ_023A,dxlmcPB_qKk,2022-06-14T13:08:18Z,Family Goals | Pack Up For Kerala,"When you realise that you’ve unknowingly let life’s precious moments slip by, pack up for Kerala. After all, there’s no better place to make up for lost time than the beaches, hills, backwaters and forests of God’s Own Country. 

#Backwaters #vacation #memories #FamilyGoals #FamilyTime #PackUpForKerala #keralatourism 
Thank you for watching our video!


You can subscribe to our channel here: https://www.youtube.com/channel/UCmiF2GcrQwFeiTdnKJ_023A

Visit https://www.keralatourism.org/ for latest updates on Kerala

You can also download our apps:
Android: https://play.google.com/store/apps/details?id=org.keralatourism.travelkerala
iOs: https://apps.apple.com/us/app/kerala-tourism-official/id1460526344",1689128,1084,23
15,UCmiF2GcrQwFeiTdnKJ_023A,GDxZa6x3Tm4,2019-11-15T13:47:58Z,For Depression - Shirodhara in Ayurveda | Panchakarma Therapies,"Shirodhara is one of the most popular ayurvedic treatment therapies used mainly for any mental health issues faced by the patient. 

Win a trip to Kerala, Register Now for the International Children's Painting Competition 2023,  https://www.keralatourism.org/contest/icpc/registration


#Ayurveda #RejuvenationTherapies",1445872,9413,492
16,UCmiF2GcrQwFeiTdnKJ_023A,sJ5sWOMtDBE,2022-03-25T06:30:07Z,Travel for the thrill of adventure | Kerala Tourism,"Travel for the thrill of adventure and to savour rich experiences; travel to herald a new tomorrow and a better world too. 

#TravelForGood #KeralaExperiences #KeralaTourism

You can subscribe to our channel here: https://www.youtube.com/channel/UCmiF2GcrQwFeiTdnKJ_023A

Visit https://www.keralatourism.org/ for latest updates on Kerala

You can also download our apps:
Android: https://play.google.com/store/apps/details?id=org.keralatourism.travelkerala
iOs: https://apps.apple.com/us/app/kerala-tourism-official/id146052634",1369641,72,5
17,UCmiF2GcrQwFeiTdnKJ_023A,PoK0JeqIzvs,2022-10-17T14:51:55Z,قم برحلة نحو السعادة!,"مظلات خضراء، وليس شاشات زرقاء. معابر البط بدلاً من الاختناقات المرورية. ابتسامات على الجبهات. مرحبا بكم في بلد الله، حيث ستعيشون، تضحكون وتحبون مرة أخرى.

 #KeralaExperiences #YallaKerala #Family #PackUpForKerala #KeralaTourism",1361433,40,8
18,UCmiF2GcrQwFeiTdnKJ_023A,jdJvSMvoQQQ,2023-06-13T04:30:23Z,Sky Cycling | India's Summer Camp,"Do something daring this summer. Try cycling in the sky at Kerala, India’s Summer Camp.

#Summer #SkyCycling #Kerala #IndiasSummerCamp #KeralaTourism",1255290,85,2
19,UCmiF2GcrQwFeiTdnKJ_023A,20VVU1j452A,2023-06-08T09:53:00Z,Ola Craft | India's Summer Camp,"This summer head over to Kerala, India’s Summer Camp and try your hand at coconut leaf origami. Start with a windmill, and move on to watches, hats, birds, flowers, fish, birds, snakes and whatnot. Make this summer fun.

#Summer #Kerala #IndiasSummerCamp #KeralaTourism",1082012,113,0
