,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCD8CFS_nj2_dBdSZu53wCcQ,yJSsY895CyU,2022-07-13T06:56:54Z,Hello from paradise! 😍 #Maldives #Shorts,"In Maldives for the next 7 days, beyond excited to be somewhere tropical in the midst of nature!

Resort: Sun Siyam Olhuveli
Trip to Maldives curated by GT Holidays

#Shorts #Maldives #MaldivesTrip",11129987,182691,1810
1,UCD8CFS_nj2_dBdSZu53wCcQ,Uu37vUmm1tk,2022-10-16T07:01:37Z,"MALDIVES TRAVEL VLOG: Snorkeling, Dolphin Cruise, Water Villa Tour & More! 🏝️☀️ | Ep 1","I spent a week in the Maldives exploring 5 different Sun Siyam resorts and having some of the most incredible and luxurious experiences. In this vlog, I fly from Bangalore to Male in the Maldives, take a speedboat from the airport to Sun Siyam Olhuveli Resort, give you a tour of my water villa in the Maldives, go snorkeling, kayaking, see tons of dolphins (I've literally never seen so many dolphins at once) on a sunset cruise, and a lot more! Hope you enjoy this travel vlog from the Maldives :)

Resort: Sun Siyam Olhuveli
You can book this package through GT Holidays: https://www.gtholidays.in (reach out to them at 9940882200)

Time stamps:
00:00 Hello from the Maldives!
00:15 Flights from India to the Maldives 
1:13 Speed boat to Sun Siyam Olhuveli Resort
2:51 Lunch at the beach
4:02 Overwater villa tour
6:35 Swimming in the ocean
7:07 Sunset and dinner
8:11 Day 2 in the Maldives
9:33 Getting a tour of the resort
11:13 Snorkeling in the Maldives
12:33 Kayaking
13:20 Dolphin watching sunset cruise
14:45 About my package

Subscribe to my channel and press the bell button to stay notified about my new videos! ✨ You could also follow me on Instagram for more current updates and behind-the-scenes action. 🤗

This trip is in partnership with GT Holidays

#Maldives #MaldivesVlog #MaldivesTravelVlog 

————————————

I’M SUPER ACTIVE ON SOCIAL MEDIA SO LET’S CHAT THERE! :D

📸 Instagram: https://www.instagram.com/kritika_goel 
📕 Facebook: https://www.facebook.com/kritikagoelofficial 
🐦 Twitter: https://twitter.com/kritika_goel
🌍 Website : http://www.kritikagoel.com 


💌 Business email: work.kritikagoel@gmail.com 
🎬 Edited by me on Final Cut Pro X

📸 My Vlogging Gear - https://kit.co/kritikagoel/kritika-s-youtube-kit  

Video about: MALDIVES TRAVEL VLOG: Snorkeling, Dolphin Cruise, Water Villa Tour & More! 🏝️☀️ | Ep 1

Music Used: 
Music by Anja Kotar - September - https://thmatc.co/?l=897CB58B

————————————

Disclaimer: Some of the links are affiliate links, which means if you use that link to buy something, I get a small kickback at no extra cost to you. :)",3181797,24862,1489
2,UCD8CFS_nj2_dBdSZu53wCcQ,ZJWq0eBRLCg,2021-06-24T08:30:02Z,"Blue Lagoon, Iceland - This is what spa dreams are made of! 😍 #Shorts","Watch the full Blue Lagoon Iceland vlog here: https://www.youtube.com/watch?v=C0FthqHU0p0&

📸 Instagram: https://www.instagram.com/kritika_goel 
📕 Facebook: https://www.facebook.com/kritikagoelofficial/ 
🐦 Twitter: https://twitter.com/kritika_goel
🌍 Website : http://www.kritikagoel.com 
🛒 Store: https://www.kritikagoelshop.com

#Shorts #Iceland #BlueLagoon",2123728,57022,483
3,UCD8CFS_nj2_dBdSZu53wCcQ,Xcs9OUGql4c,2021-07-08T08:30:08Z,"BEER SPA in Prague, Czech Republic! 🍺 #Shorts","Watch the full beer spa vlog from Prague, Czech Republic here: https://www.youtube.com/watch?v=aBBMYiuvhHc

📸 Instagram: https://www.instagram.com/kritika_goel 
📕 Facebook: https://www.facebook.com/kritikagoelofficial/ 
🐦 Twitter: https://twitter.com/kritika_goel
🌍 Website : http://www.kritikagoel.com 
🛒 Store: https://www.kritikagoelshop.com

#Shorts #BeerSpa #Prague #KritikaGoel #CzechRepublic",2073553,27967,295
4,UCD8CFS_nj2_dBdSZu53wCcQ,c3EfEEpvQ3k,2020-12-18T12:00:27Z,iPad Air 4 Unboxing #Shorts,"Recently got my hands on the new iPad Air 4 in the color space grey, the Magic Keyboard and Apple Pencil 2 and I'm so excited about this upgrade from my older iPad! Filmed a fun stop motion unboxing of the iPad, my first time trying stop motion and took me over an hour to make this 30 second video haha! Hope you enjoy my unboxing of the new iPad Air 2020 :)

What's on my iPad: https://www.youtube.com/watch?v=40nuAUvX9WU
iPad: https://www.apple.com/in/ipad-air/
Apple Pencil: https://amzn.to/3amDVaJ 
Magic Keyboard: https://www.apple.com/in/ipad-keyboards/

I’M SUPER ACTIVE ON SOCIAL MEDIA SO LET’S CHAT THERE! :D

📸 Instagram: https://www.instagram.com/kritika_goel 
📕 Facebook: https://www.facebook.com/kritikagoelofficial/ 
🐦 Twitter: https://twitter.com/kritika_goel
🌍 Website : http://www.kritikagoel.com 
🛒 Store: https://www.kritikagoelshop.com

#shorts #TechWithKritika",1790861,83786,400
5,UCD8CFS_nj2_dBdSZu53wCcQ,EdcZ25BK5vA,2018-01-06T14:24:35Z,GOA TRAVEL VLOG | 3 Days in South Goa,"Join my FREE YouTube Masterclass: https://bit.ly/38dS4o6
Check out my store: https://www.kritikagoelshop.com
MY ONLINE STORE  ➭ https://sellfy.com/kritikagoel/
Instagram  ➭ https://www.instagram.com/kritikagoelpresets/

Hey guys! I spent three fun days with my friends at Agonda in South Goa and as always, took you guys along with me. Apart from just chilling on the beach, we also explored the churches in Old Goa and visited Fort Aguada.

Hotel we stayed at: http://bit.ly/2sG3vmI

Don’t forget to like the video, subscribe to my channel and press the 🔔 button to be notified every time I post a new video! :)

NEW VIDEOS EVERY WEEK!

The Equipment I use for filming: https://kit.com/kritikagoel/kritika-s-youtube-kit

Main vlogging camera: http://amzn.to/2fc119L 

Edited by me on Final Cut Pro X

——

LETS CHAT ON SOCIAL MEDIA

Blog : http://www.blogofthethings.com/ 

Instagram: https://www.instagram.com/blogofthethings

Facebook: https://www.facebook.com/blogofthethings 

Twitter: https://twitter.com/blogofthethings

Snapchat: kritika_goel 

Business email: blogofthethings@gmail.com 

——

Music:

Song: Erik Lund - Summertime (Vlog No Copyright Music)
Music promoted by Vlog No Copyright Music.
Video Link: https://youtu.be/E338aF6QHu8

Song: Dizaro - Sunset Beach (Vlog No Copyright Music)
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/H--bOQgYsz0

Song: Fredji - Happy Life (Vlog No Copyright Music)
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/KzQiRABVARk

Song: Jebase - Turtle Beach (Vlog No Copyright Music)
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/zx2PBe355N4


——

Equipment I use for filming: https://kit.com/kritikagoel/kritika-s-youtube-kit

——",1599868,20535,1452
6,UCD8CFS_nj2_dBdSZu53wCcQ,2hAKIOzQ7XI,2021-05-13T13:46:03Z,Skydiving in Dubai! 🔥 #Shorts #KritikaShorts,"Watch the full skydiving in Dubai vlog here: https://www.youtube.com/watch?v=BmsODxQRrpk

📸 Instagram: https://www.instagram.com/kritika_goel 
📕 Facebook: https://www.facebook.com/kritikagoelofficial/ 
🐦 Twitter: https://twitter.com/kritika_goel
🌍 Website : http://www.kritikagoel.com 
🛒 Store: https://www.kritikagoelshop.com

#Shorts #Skydiving #dubai",1327781,40273,154
7,UCD8CFS_nj2_dBdSZu53wCcQ,WwNZqNUHeUA,2019-07-09T12:01:58Z,"GANGTOK, SIKKIM TRAVEL VLOG | Things to do in Gangtok - Vlog #4 | North East India | Kritika Goel","Join my FREE YouTube Masterclass: https://bit.ly/38dS4o6
Check out my store: https://www.kritikagoelshop.com
MY ONLINE STORE  ➭ https://kritikagoel.com/shop/
Instagram  ➭ https://www.instagram.com/kritikagoelpresets/

Hey everyone! This is the last video from my Sikkim series and it’s all about Gangtok! Since this was my second time in Gangtok, I tried to cover more off beat places that I hadn’t already seen. In this video, I visited some sightseeing spots like Tashi View Point, Ganeshtok, MG Marg, Enchey Monastery and tried some delicious food at Nor-khill hotel and the cute cafes at MG Marg. We also went on a cable card ride to get an amazing view of Gangtok. This was such a perfect way to end my trip to Sikkim! :)

If you missed the previous videos:
1st Vlog: https://www.youtube.com/watch?v=gtm2O_6_mUM
2nd Vlog: https://www.youtube.com/watch?v=00gwf2jUoVc
3rd Vlog: https://www.youtube.com/watch?v=X_01ft5u0l4 

Music in this vlog:
1. Summer City - Chasing Madison
2. The Feeling Is All Gone - Solar Sun
3. Part of the Game - Velveteen
Sign up for a free one month trial and download these songs: http://bit.ly/2WMVf3b

Subscribe to my channel and press the bell button to stay notified about my new videos! ✨ You could also follow me on Instagram for more current updates and behind the scenes action. 🙃

————————————

I’M SUPER ACTIVE ON SOCIAL MEDIA SO LET’S CHAT THERE! :D

✭ Instagram: https://www.instagram.com/kritika_goel 
✭ Facebook: https://www.facebook.com/blogofthethings  
✭ Twitter: https://twitter.com/kritika_goel
✭ Blog : http://www.kritikagoel.com 
✭ Snapchat: kritika_goel 

☀ Business email: work.kritikagoel@gmail.com 
☀ Edited by me on Final Cut Pro X

☀ Music (use my link to get one month free trial!)
Epidemic Sound: http://bit.ly/2WMVf3b
Musicbed: http://bit.ly/2WQxGGv


————————————

▼ ▽ MY VLOGGING GEAR 

▸ Sony A6500: https://amzn.to/2S89JVF 
▸ Lens: https://amzn.to/2YJutWf 
▸ Canon G7X ii: http://amzn.to/2fc119L 
▸ Go Pro Hero 5 Black: http://amzn.to/2fc0RiF 
▸ Drone: https://amzn.to/2vEYPMt 
▸ iPhone X: https://amzn.to/2yMV38v 
▸ Manfrotto Mini Tripod (I mostly use this): https://amzn.to/2Hj1AHA 
▸ Joby GorillaPod (small): http://amzn.to/2x5M0uI 
▸ Joby GorillaPod (with ball head): http://amzn.to/2fa7l1B 
▸ Big Tripod: http://amzn.to/2xEVqjX 
▸ Hard Drive 1TB: http://amzn.to/2xFaYnR 
▸ Hard Drive 4TB: https://amzn.to/2NZmRZQ
▸ My FULL Youtube Kit: http://bit.ly/2tPMPI8  

Disclaimer: Some of the links are affiliate links, which means if you use that link to buy something, I get a small kickback at no extra cost to you. :)

————————————",1259480,26583,1669
8,UCD8CFS_nj2_dBdSZu53wCcQ,xwxtHqayzl8,2017-10-26T14:01:28Z,KOH PHI PHI - I jumped off a boat | Thailand Vlog #1 🏝,"Join my FREE YouTube Masterclass: https://bit.ly/38dS4o6
Check out my store: https://www.kritikagoelshop.com
MY ONLINE STORE  ➭ https://sellfy.com/kritikagoel/
Instagram  ➭ https://www.instagram.com/kritikagoelpresets/

My Travel Guide to Koh Phi Phi - https://www.kritikagoel.com/koh-phi-phi-travel-guide/

Where I stayed: http://bit.ly/2wkemod

Here’s my first Thailand vlog where I take you around the magical island of Koh Phi Phi. We spent three amazing days there, went snorkelling and island hopping, and had a total blast!

I absolutely loved editing this video. Hit that like button if you enjoyed watching! 👍

I will also be posting more Thailand vlogs in the upcoming weeks so watch out for those. :)

Also, don't forget to subscribe to my channel and press the 🔔 button to be notified every time I post a new video! :)

NEW VIDEOS EVERY WEEK!

The Equipment I use for filming: https://kit.com/kritikagoel/kritika-s-youtube-kit

Main vlogging camera: http://amzn.to/2fc119L 
For those underwater shots: http://amzn.to/2fc0RiF 

Edited by me on Final Cut Pro X

——

LETS CHAT ON SOCIAL MEDIA

Blog : http://www.blogofthethings.com/ 

Instagram: https://www.instagram.com/blogofthethings

Facebook: https://www.facebook.com/blogofthethings 

Twitter: https://twitter.com/blogofthethings

Snapchat: kritika_goel 

Business email: blogofthethings@gmail.com 

——

Song Credits:

1. Vibe With Me by Joakim Karud http://soundcloud.com/joakimkarud
2. Bay Breeze by FortyThr33 https://soundcloud.com/fortythr33-43
3. JPB - High [NCS Release] https://youtu.be/Tv6WImqSuxA
https://soundcloud.com/anis-jay
https://www.facebook.com/jayprodbeatz
4. Island by MBB https://soundcloud.com/mbbofficial
5. Take It Easy by MBB https://soundcloud.com/mbbofficial
Creative Commons — Attribution-ShareAlike 3.0 Unported— CC BY-SA 3.0 
http://creativecommons.org/licenses/b...
Music promoted by Audio Library https://youtu.be/8DAL4muQUC8
6. Mickey Valen - Wildcard (feat. Feli Ferraro)
Spotify: http://spoti.fi/28OOGEk
iTunes: http://apple.co/28ZO0tP


——

Equipment I use for filming: https://kit.com/kritikagoel/kritika-s-youtube-kit

Sign up here to get one month free of Epidemic Sound music: http://share.epidemicsound.com/kritika

——",1226906,16317,1442
9,UCD8CFS_nj2_dBdSZu53wCcQ,ryB764h7ivA,2021-10-29T12:15:52Z,"LAKSHADWEEP TRAVEL VLOG | How to Travel to Lakshadweep - Budget, Accommodation & Tour Guide | Ep 1","Here’s the first part of my 4 part travel series covering the beautiful islands of Lakshadweep. In this video, I talk about how to plan a trip to Lakshadweep, the budget for a Lakshadweep trip, how we booked our trip, and basically you’ll see us travel from Kochi to Agatti and then Agatti to Bangaram. We’re spending 3 nights in Bangaram and have a lot of fun activities planned, but so excited to be here in Lakshadweep!

✨ Music from Epidemic Sound ✨ 
GET 1 MONTH FREE TRIAL: http://share.epidemicsound.com/kritika 

🏝 Trip booked through GoL Travels 🏝
(Govt. Authorised Travel Agency)
Pallichal Rd, Thoppumpadi,Kochi

Contact: 9778509629, 9778389592, 04842959023
https://www.golakshadweep.com/ ; info@golakshadweep.com

Watch Ivana's video: https://www.youtube.com/watch?v=SNrsQ2wXIUk

In this video I cover the budget to travel to Lakshadweep, how to get to Lakshadweep, where to stay when in Lakshadweep and how to arrange for permits and plan your trip!

Subscribe to my channel and press the bell button to stay notified about my new videos! ✨ You could also follow me on Instagram for more current updates and behind the scenes action. 🤗

————————————

I’M SUPER ACTIVE ON SOCIAL MEDIA SO LET’S CHAT THERE! :D

📸 Instagram: https://www.instagram.com/kritika_goel 
📕 Facebook: https://www.facebook.com/kritikagoelofficial 
🐦 Twitter: https://twitter.com/kritika_goel
🌍 Website : http://www.kritikagoel.com 

💌 Business email: work.kritikagoel@gmail.com 
🎬 Edited by me on Final Cut Pro X

Video about: MADE IT TO LAKSHADWEEP | How to Travel to Lakshadweep - Budget, Accommodation & Trip Planning | Ep 1

#Lakshadweep #KritikaTravels #IncredibleIndia #Bangaram #LakshadweepIslands

————————————

▼ ▽ MY VLOGGING GEAR 

▸ Canon M50 mark ii: https://geni.us/LYexo
▸ iPhone 12 Pro Max: https://geni.us/VLCL 
▸ Go Pro Hero 5 Black: https://geni.us/TwyAS 
▸ Drone: https://geni.us/YtJe 
▸ Rode VideoMicro: https://geni.us/NzNZQA0 
▸ Manfrotto Mini Tripod: https://geni.us/kFcMMlz 
▸ Manfrotto PIXI EVO 2 (mostly use this): https://geni.us/TfXEH 
▸ Joby GorillaPod (with ball head): https://geni.us/NUTOjNM 
▸ Big Tripod: https://geni.us/pJjwojN 
▸ MacBook Pro: https://geni.us/Auo0 
▸ iPad (for hand drawn stuff): https://geni.us/inzKW 
▸ Editing software: Final Cut Pro X
▸ SSD (for editing): https://geni.us/O5rl 
▸ Hard Drive 1TB: https://geni.us/zShYem 
▸ Hard Drive 4TB: https://geni.us/Ddhf 
▸ My FULL Youtube Kit: https://kit.co/kritikagoel/kritika-s-youtube-kit 

Disclaimer: Some of the links are affiliate links, which means if you use that link to buy something, I get a small kickback at no extra cost to you. :)",1128166,19521,914
