,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCl2DCj3sY2pNoHWzP9NjrMg,wFbUw2Ge-f4,2016-06-16T03:58:04Z,MP Tourism – MP Mein Dil Hua Bache Sa…,"Relive the fun, carefree times of childhood in Madhya Pradesh! Shape-shifting marble mountains to ship-like historic monuments and a lot more, will make you too sing MP Mein Dil Hua Bache Sa...

Do check out the below website of MP Tourism for the best tourist destinations to  visit in Madhya Pradesh
🌐 - https://www.mptourism.com/

Connect with us at our social media handles: 
Facebook: https://www.facebook.com/MPTourism
Twitter: https://twitter.com/MPTourism
Instagram: https://www.instagram.com/mptourism/
Linkedin: https://www.linkedin.com/company/madhya-pradesh-tourism/
Koo: https://www.kooapp.com/profile/mptourism

#MPTourism #MadhyaPradesh #HeartOfIndia #HindustanKaDilDekha #incredibleindia  #indiatourism #travel #tourism #madhyapradeshtourism",5889753,9537,392
1,UCl2DCj3sY2pNoHWzP9NjrMg,_Nfg7VkcJwQ,2019-11-28T11:35:54Z,Mouthwatering street food of Madhya Pradesh,"Some of the best meals are found on the streets. Hence street food isn’t just a quick meal but also a great way to explore the local food culture. Come to Bhopal- the city of lakes & treat your taste buds to many culinary delights here. 
#MPTourism #MadhyaPradesh #Bhopal",4937057,164,8
2,UCl2DCj3sY2pNoHWzP9NjrMg,-aSji74ODZk,2019-11-21T10:09:25Z,Come close to the exotic wildlife in MP,"There’s nothing more magical than watching a deer hopping on from place to another in the jungle or a tiger catching its prey. Isn’t it? The joy of watching animals in their natural habitat is unmatched. Do plan a trip to the Heart of Incredible India and take back thrilling wildlife experiences from the National Parks here.  
#MPTourism #MadhyaPradesh #HeartOfIndia",4397871,148,13
3,UCl2DCj3sY2pNoHWzP9NjrMg,5HjFbAo5A84,2020-02-04T19:06:05Z,Madhya Pradesh #SabKuchJoDilChahe,"Madhya Pradesh is home to myriad experiences that are waiting to unfold and surprise travellers from all over the world. So, desire it all and experience #SabKuchJoDilChahe in the mystic #HeartOfIndia
Visit now: http://www.mptourism.com",2978354,1883,111
4,UCl2DCj3sY2pNoHWzP9NjrMg,aBfC39uPWIQ,2010-12-28T12:20:46Z,Jabalpur-Bhedaghat - An Awesome Spectacle of Nature | Madhya Pradesh Tourism,"The video commences by describing this spacious city as an important administrative centre of the country. Places like the Madan Mahal Fort providing a panoramic view of the town, temples built by Sangram Shah, Tilwara Ghat also get a mention, before the video enchantes and mesmerize one with the beauty of the marble rocks of Bhedaghat. Boating on the crystal-clear waters of the Narmada is an awesome experience and presents an awesome spectacle of nature's beauty. The exquiste stone carvings at the 10th century Cahusat Yogini temple are also feature in the video.

How to Reach: Nearest Airport - Jabalpur (23 kms) for Bhedaghat
Nearest Rail Station - Jabalpur
By Road - Frequent Buses, tempos, cars available from Jabalpur


Do check out the below website for the best places to visit in Jabalpur
🌐 - https://www.mptourism.com/destination-jabalpur.php

Connect with us at our social media handles: 
Facebook: https://www.facebook.com/MPTourism
Twitter: https://twitter.com/MPTourism
Instagram: https://www.instagram.com/mptourism/
Linkedin: https://www.linkedin.com/company/madhya-pradesh-tourism/

#jabalpur #bhedaghatjabalpur #madhyapradesh #mptourism #heartofindia #indiatourism",1865289,4486,216
5,UCl2DCj3sY2pNoHWzP9NjrMg,cnTFTY55zic,2019-11-19T12:11:31Z,Wildlife in Kanha National Park | Madhya Pradesh Tourism,"Kanha National Park is full of thrills when it comes to spotting some exotic animals here. Home to Barasingha also known as Swamp deer, this National Park also gives you an opportunity to spot Bison and of course big cats too. Do plan a trip to Kanha and experience the adventure yourself! 

#MPTourism #MadhyaPradesh #HeartOfIndia",1151279,40,7
6,UCl2DCj3sY2pNoHWzP9NjrMg,tIkUOa94Yw4,2010-12-28T10:15:06Z,Amarkantak- Source of the holy Narmada,"This video is devoted to the town of prime religious importance, Amarkantak popularly referred to as teerathraj   or 'king of pilgrimages'. The video showcases the origin and significance of two great rivers of India, The Narmada and Sone, which arise in Amarkantak. It further narrates about the famous temples in the town namely the Narmada temple, the Sati temple and the oldest of them all the Shiv mandir. The beauty of the Kapildhara as showcased would have any visitor fascinated and captivated. 
Means to reach: Nearest airport are Jabalpur (230 kms) and Raipur (230 kms).
Nearest railway station: Pendra Road (42 kms) in Chhattisgarh. 
By Road: 71 kms from Anuppur, the district headquarters.",918908,1622,72
7,UCl2DCj3sY2pNoHWzP9NjrMg,m_AREWFSwdA,2013-03-26T13:56:21Z,MP Tourism TVC Sau Rang..!!,"The new MP Tourism ad is here. Fourth in the inimitable series of MP Tourism ads, this 'Colours' TVC takes tourism advertising to a whole new level. It welcomes the audience the same way Indians welcome people by throwing colours at them during the festival of Holi. Colours in different beautiful hues envelope tourists and form the key tourist attractions of Madhya Pradesh - Kanha's tigers, Khajuraho's famous sculptures, Mandu's Jahaz Mahal, Sanchi Stupa and Ujjain's Mahakal Aarti.

This audio visual treat has been created by Ogilvy & Mather Mumbai and Nirvana Films. Creative: Abhijit Avasthi, Pradyumna Chauhan, Mahesh Gharat. Director: Prakash Varma. Lyrics: Pradyumna Chauhan. Music: Pankaj Awasthi.
Media rights with Mindshare Mumbai

Lyrics:

Rang hain, rang hain, rang hain, sau tarah ke rang hain... Kanha mein saikadon sher dahade, har koi dekhe aankhen faade... aankhen faade... aankhen faade... Khajuraho ki khamosh moorat pyaar ki kitni pyaari surat... MP mein aaya har koi dang hai... Dang hai O dang hai... Mandu ka mahal dekhne aaye jahaaz dekha chakkar khaye... Sanchi mein aake stupa dekha shaant hoke hinsa ko fenka... MP mein aayi har rooh malang hai... malang hai malang hai... malang hai malang hai... Mahakal ki puja drishya na koi duja... MP mein aayi har rooh malang hai...",909485,6357,367
8,UCl2DCj3sY2pNoHWzP9NjrMg,tE4xyGqdbyY,2020-01-02T09:37:51Z,Enjoy the thrilling Jal Mahotsav in Hanuwantiya,"If adventure is your thing then Hanuwantiya is your go-to destination this new year. Experience all kinds of thrills by enjoying the land, air and water sports during month-long ‘Jal Mahotsav’ all set to commence from Jan 3rd- 3rd Feb.",828902,124,2
9,UCl2DCj3sY2pNoHWzP9NjrMg,fpIN0Qz4rvw,2018-05-10T11:39:30Z,Madhya Pradesh - Parsili | MP Tourism,"This season plan a trip to Parsili and get swayed by its sprawling landscape and astounding biota. The town also features Shiva, Bihar Chandreh Temple and Gulab Sagar picnic spot to keep you engaged and amused!",644033,72,5
