,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCgilhqoyZrXV2EBlaaAtVaw,PtpdAjg5lbE,2019-04-27T13:00:38Z,"RAMSETU BRIDGE FROM SRI LANKAN SIDE, MANNAR ISLAND 🇱🇰🇱🇰","Hello Guys,

In this video, I have shown the Ramsetu Bridge from the Sri Lankan side. It's is the last point of Sri Lanka & India is not so far from here. Mannar is a Sri Lankan Island. We can say it's a kind of Dhanushkudi & Rameswaram Island. 

Click here to support my channel:
http://bit.ly/2JoDUWb

In this video, I have shared my experience of Ramsetu ( Adam's Bridge, Sri Lanka) 

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian

————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd

Action Camera:-  https://amzn.to/2LelQkc

Microphone:- https://amzn.to/2DTqU7J

Laptop:-https://amzn.to/2Lcfh1w

Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD  ————————————

Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card
32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD :-
1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ——————————

BackPack:- https://amzn.to/2J8TmWm

Laptop Bag:- https://amzn.to/2J8Ghwj

Sleeping Bag:- https://amzn.to/2UPdyip

Camping Tent:- https://amzn.to/2VDunkI

Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories   ———————————

Power Bank:- https://amzn.to/2LhyVtc

Go Pro Battery:- https://amzn.to/2VBZmxG

Go Pro Charger :- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6

Selfie Stick:- https://amzn.to/2Ld4rZ3

Gorilla Pod:- https://amzn.to/2DHYoWq

——————————
If you want to see all my product recommendations, you should check out my storefront at Amazon.
https://www.amazon.in/shop/nomadic.indian

--------------------------------------------------------------
For more watch the whole video and also leave a feedback Comment :)

https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in",7113110,158449,8077
1,UCgilhqoyZrXV2EBlaaAtVaw,YYN5ej-hblg,2019-12-09T04:00:02Z,THE BULLET TRAINS OF CHINA - Xi'an to Zhangzhou,"SUBSCRIBE to our channel:-
http://bit.ly/NomadicIndian

Hello Guys,

China high-speed trains, also known as a bullet or fast trains, can reach a top speed of 350 km/h (217 mph).

Over 2,800 pairs of bullet trains numbered by G, D or C run daily connecting over 550 cities in China and covering 33 of the country's 34 provinces. Beijing-Shanghai high-speed train link the two megacities 1,318 km away in just 4.5 hours.

By 2018, China keeps the world's most massive high-speed rail (HSR) network with a length totalling over 29,000 km. The world's longest HSR line, Beijing - Hong Kong High-Speed Railway, extends 2,440 km.

THE CHINA VLOG SERIES STARTS FROM HERE :)

& now enjoy the video

In this video, I have used music from Epidemic sounds & NCS.

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian

————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd

Action Camera:-  https://amzn.to/2LelQkc

Microphone:- https://amzn.to/2DTqU7J

Laptop:-https://amzn.to/2Lcfh1w

Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD  ————————————

Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card
32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD :-
1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ————————

BackPack:- https://amzn.to/2J8TmWm

Laptop Bag:- https://amzn.to/2J8Ghwj

Sleeping Bag:- https://amzn.to/2UPdyip

Camping Tent:- https://amzn.to/2VDunkI

Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories   ———————————

Power Bank:- https://amzn.to/2LhyVtc

Go Pro Battery:- https://amzn.to/2VBZmxG

Go Pro Charger :- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6

Selfie Stick:- https://amzn.to/2Ld4rZ3

Gorilla Pod:- https://amzn.to/2DHYoWq

——————————
If you want to see all my product recommendations, you should check out my storefront at Amazon.
https://www.amazon.in/shop/nomadic.indian

--------------------------------------------------------------
For more watch the whole video and also leave a feedback Comment :)

https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in

#indianinchina #bullettrains #chinabullettrains",3499731,79499,7273
2,UCgilhqoyZrXV2EBlaaAtVaw,Yx6erbcfbJw,2019-12-13T04:41:50Z,"MONKS OF SHAOLIN TEMPLE IN CHINA, KUNG FU","SUBSCRIBE to our channel:-
http://bit.ly/NomadicIndian

Website:- http://www.shaolin.org.cn/en/

Hello Guys,

Since childhood, I wanted to visit this place. After watching those Chinese & Hollywood movies Shaolin Temple or Shaolin Kung Fu became a bucket list.


The Shaolin Monastery also is known as the Shaolin Temple, is a Chan Buddhism temple in Dengfeng, Henan Province, China. Believed to have been founded in the fifth century, the Shaolin Temple is the main temple of the Shaolin school of Buddhism to this day.

Located 90 kilometres west of the city of Zhengzhou, the Shaolin Monastery and its Pagoda Forest at Shaolin Temple were inscribed as a World Heritage Site in 2010 as part of the ""Dengfeng.""

In 495 AD, Shaolin temple was built among the Song mountains in Henan province. The first monk who preached Buddhism there was the Indian monk named Buddhabhadra, simply called Batuo by the Chinese. There are historical records that Batuo's first Chinese disciples, Huiguang and Sengchou, both had exceptional martial skills. For example, Sengchou's stability with the tin staff is even documented in the Chinese Buddhist canon. After Buddhabadra, the monk Bodhidharma, described as either Central Asian or Indian and simply called Damo by the Chinese, came to Shaolin in 527 AD. His Chinese disciple, Huike, was also a highly trained martial arts expert. There are hints that these first three Chinese Shaolin monks, Huiguang, Sengchou, and Huike, may have been military men before entering the monastic life.

THE CHINA VLOG SERIES STARTS FROM HERE :)

& now enjoy the video


In this video, I have used music from Epidemic sounds & NCS.

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian
————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd
Action Camera:- https://amzn.to/2LelQkc
Microphone:- https://amzn.to/2DTqU7J
Laptop:-https://amzn.to/2Lcfh1w
Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD ————————————
Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card

32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD:-

1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ————————

BackPack:- https://amzn.to/2J8TmWm
Laptop Bag:- https://amzn.to/2J8Ghwj
Sleeping Bag:- https://amzn.to/2UPdyip
Camping Tent:- https://amzn.to/2VDunkI
Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories ———————————
Power Bank:- https://amzn.to/2LhyVtc
Go Pro Battery:- https://amzn.to/2VBZmxG
Go Pro Charger:- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6
Selfie Stick:- https://amzn.to/2Ld4rZ3
Gorilla Pod:- https://amzn.to/2DHYoWq

——————————

If you want to see all my product recommendations, you should check out my storefront at Amazon.

https://www.amazon.in/shop/nomadic.indian
--------------------------------------------------------------

For more watch the whole video and also leave a feedback Comment :)
https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in

#indianinchina #shaolintemple #bodhidharma",3442944,119353,4288
3,UCgilhqoyZrXV2EBlaaAtVaw,2Q_Si8WIBes,2019-12-15T04:00:00Z,TRAINS IN MOUNTAINS OF CHINA - Avatar Mountains,"SUBSCRIBE to our channel:-
http://bit.ly/NomadicIndian

Hello Guys,

In this video, I have shared my experience of long-distance trains in China. Train travel is the primary method of long-distance transportation for the Chinese, with an extensive network of routes covering most of the country. Roughly a quarter of the world's total rail traffic is in China.
China now has the world's largest network of high-speed railways (similar to French TGV or Japanese Shinkansen bullet trains), the CRH trains, and expansion continues at a frantic pace. If your route and budget allow then these may be the best way to get around.
Hong Kong has a high-speed rail station that opened to the public in 2018. Macau has no rail connection at all, although Zhuhai over the border is connected to a high-speed line.

Zhangjiajie is a prefecture-level city in the northwestern part of Hunan province, People's Republic of China. It comprises the district of Yongding, Wulingyuan and counties of Cili and Sangzhi. Within it is located Wulingyuan Scenic Area which was designated a UNESCO World Heritage Site in 1992 as well as an AAAAA scenic area by the China National Tourism Administration.
It was renamed to its present name in January 2010 for having served as inspiration for the ""Hallelujah Mountains"" in the film Avatar, as well as to show appreciation to the social message present therein. Previously, it was known as the Southern Sky Column.

THE CHINA VLOG SERIES STARTS FROM HERE :)

& now enjoy the video


In this video, I have used music from Epidemic sounds & NCS.

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian
————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd
Action Camera:- https://amzn.to/2LelQkc
Microphone:- https://amzn.to/2DTqU7J
Laptop:-https://amzn.to/2Lcfh1w
Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD ————————————
Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card

32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD:-

1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ————————

BackPack:- https://amzn.to/2J8TmWm
Laptop Bag:- https://amzn.to/2J8Ghwj
Sleeping Bag:- https://amzn.to/2UPdyip
Camping Tent:- https://amzn.to/2VDunkI
Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories ———————————
Power Bank:- https://amzn.to/2LhyVtc
Go Pro Battery:- https://amzn.to/2VBZmxG
Go Pro Charger:- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6
Selfie Stick:- https://amzn.to/2Ld4rZ3
Gorilla Pod:- https://amzn.to/2DHYoWq

——————————

If you want to see all my product recommendations, you should check out my storefront at Amazon.

https://www.amazon.in/shop/nomadic.indian
--------------------------------------------------------------

For more watch the whole video and also leave a feedback Comment :)
https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in

#indianinchina #trainsinchina #avatarmountains",3227826,85349,4644
4,UCgilhqoyZrXV2EBlaaAtVaw,ZlbpAe3IbwQ,2019-03-30T04:00:07Z,WHAT SRI LANKAN PEOPLE THINK ABOUT RAAVAN ? 🇱🇰,"Hello Guys,
Click here to support my channel:
http://bit.ly/2JoDUWb

Every country has their own beliefs and their own Culture, we have studied these kinds of things in School colleges but never understood how it all happened, but travelling has taught me lots of things.
All you guys know about the Great Indian Epic "" The Ramayan "" & its characters and especially about Raavan. In India we have different opinions about Raavan if we compare with Sri Lanka.
In this video, I have talked with some local people of Sri Lanka about the Raavan & What they think about the Raavan.

For more watch the whole video and also leave a feedback Comment :)

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian

————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd

Action Camera:-  https://amzn.to/2LelQkc

Microphone:- https://amzn.to/2DTqU7J

Laptop:-https://amzn.to/2Lcfh1w

Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD  ————————————

Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card
32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD :-
1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ——————————

BackPack:- https://amzn.to/2J8TmWm

Laptop Bag:- https://amzn.to/2J8Ghwj

Sleeping Bag:- https://amzn.to/2UPdyip

Camping Tent:- https://amzn.to/2VDunkI

Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories   ———————————

Power Bank:- https://amzn.to/2LhyVtc

Go Pro Battery:- https://amzn.to/2VBZmxG

Go Pro Charger :- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6

Selfie Stick:- https://amzn.to/2Ld4rZ3

Gorilla Pod:- https://amzn.to/2DHYoWq

——————————
If you want to see all my product recommendations, you should check out my storefront at Amazon.
https://www.amazon.in/shop/nomadic.indian

--------------------------------------------------------------
For more watch the whole video and also leave a feedback Comment :)

https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in


#raavan #raavaninsrilanka #srilanka",3133684,82408,9655
5,UCgilhqoyZrXV2EBlaaAtVaw,BaEZNEhexJ8,2021-08-14T04:00:07Z,I GOT MARRIAGE PROPOSAL IN TAJIKISTAN,"Navankur's Channel:- https://www.youtube.com/channel/UCoxPghkIDTPxtgZV4Zx8tMw
Shubham's Channel:- https://www.youtube.com/channel/UCNCl2n5YZfUXaxSVL3zqlLA
Brayden's Channel:- https://www.youtube.com/channel/UCwZxaJBBovf9ncJ2uU9ddnA

Hello Guys,

In this video, I have shared my experience of travelling in Tajikistan with Yatri Doctor, Nomad Shubham, Brayden & Shelby. I really was an amazing road trip. In this video, we crashed in to a wedding & then all of got marriage proposals. I hope you will like this video

Also, check out my Amazon Storefront.
https://www.amazon.in/shop/nomadic.indian
————————Equipment I use ———————

Main DSLR Camera:- https://amzn.to/3n73b7X
Go Pro Camera:- https://amzn.to/32sFqzi
Main Mic:- https://amzn.to/2IcURF8
Laptop:-https://amzn.to/2Lcfh1w
Lens:- https://amzn.to/32r1n1V

Memory Cards & HDD ————————————
Go Pro & Drone Memory Card
128 GB:- https://amzn.to/35bVnvr

DSLR Memory Card
128 GB Fast Card:- https://amzn.to/2IhLYJW

Large Storage:-
5 Tb HDD:- https://amzn.to/38r1BtG
2 TB HDD:- https://amzn.to/3eG0kQt
500 GB SSD:- https://amzn.to/2GHW9ac

Bags & Camping Equipment. ————————
BackPack:- https://amzn.to/2J8TmWm
Camera Bag:- https://amzn.to/2GI8mf2
Sleeping Bag:- https://amzn.to/2UPdyip
Camping Tent:- https://amzn.to/2VDunkI
Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories ———————————

Powerbank:- https://amzn.to/2UbiCiY
Go Pro Charger:- https://amzn.to/36nq00m
Go Battery:- https://amzn.to/3keZL1g
Go Pro Monopod:- https://amzn.to/35aKo5w
Joby Gorillapod:- https://amzn.to/32r4yXj
Go Pro Mount:- https://amzn.to/2UmK65D
Go Pro Adapter:- https://amzn.to/3lhM3vY
Go Pro Mic:- https://amzn.to/38pJTXm
Drone:- https://amzn.to/2GJ6PW5
——————————
If you want to see all my product recommendations, you should check out my storefront at Amazon.
https://www.amazon.in/shop/nomadic.indian
--------------------------------------------------------------
For more watch the whole video and also leave a feedback Comment :)
https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in

#roadtrip #pamirhighway #tajikistan",2835778,89388,3352
6,UCgilhqoyZrXV2EBlaaAtVaw,G_dXH6qR4ys,2019-04-13T13:02:54Z,"ASHOK VATIKA AND SITA TEMPLE - NUWARA ELIYA, SRI LANKA","Click here to support my channel:
http://bit.ly/2JoDUWb

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian

————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd

Action Camera:-  https://amzn.to/2LelQkc

Microphone:- https://amzn.to/2DTqU7J

Laptop:-https://amzn.to/2Lcfh1w

Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD  ————————————

Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card
32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD :-
1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ——————————

BackPack:- https://amzn.to/2J8TmWm

Laptop Bag:- https://amzn.to/2J8Ghwj

Sleeping Bag:- https://amzn.to/2UPdyip

Camping Tent:- https://amzn.to/2VDunkI

Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories   ———————————

Power Bank:- https://amzn.to/2LhyVtc

Go Pro Battery:- https://amzn.to/2VBZmxG

Go Pro Charger :- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6

Selfie Stick:- https://amzn.to/2Ld4rZ3

Gorilla Pod:- https://amzn.to/2DHYoWq

——————————
If you want to see all my product recommendations, you should check out my storefront at Amazon.
https://www.amazon.in/shop/nomadic.indian

--------------------------------------------------------------
For more watch the whole video and also leave a feedback Comment :)

https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in",2540434,61803,4824
7,UCgilhqoyZrXV2EBlaaAtVaw,LhamhuyEz_A,2019-07-30T04:00:04Z,"THE SIKH COMMUNITY & GURUDWARA OF KABUL, AFGHANISTAN🇦🇫","SUBSCRIBE to our channel:
http://bit.ly/NomadicIndian

Hello Guys,

This was my last day of Afghanistan, and there were lots of places which were left from my to-do list, but in the end, I decided to meet the Sikh & Hindu community of Afghanistan, Kabul. Due to the current situation of the country, things are really different for the minorities in Afghanistan. Although the government of Afghanistan is really trying to protect their rights with the current environment of Afghanistan, it is tough. I visited some Gurudwaras & Hindu temples in Kabul so that I can get a closer look at the lifestyle of Hindus & Sikhs. 

& now enjoy the video :)

In this video, I have used music from Epidemic sounds.

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian

————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd

Action Camera:-  https://amzn.to/2LelQkc

Microphone:- https://amzn.to/2DTqU7J

Laptop:-https://amzn.to/2Lcfh1w

Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD  ————————————

Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card
32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD :-
1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ————————

BackPack:- https://amzn.to/2J8TmWm

Laptop Bag:- https://amzn.to/2J8Ghwj

Sleeping Bag:- https://amzn.to/2UPdyip

Camping Tent:- https://amzn.to/2VDunkI

Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories   ———————————

Power Bank:- https://amzn.to/2LhyVtc

Go Pro Battery:- https://amzn.to/2VBZmxG

Go Pro Charger :- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6

Selfie Stick:- https://amzn.to/2Ld4rZ3

Gorilla Pod:- https://amzn.to/2DHYoWq

——————————
If you want to see all my product recommendations, you should check out my storefront at Amazon.
https://www.amazon.in/shop/nomadic.indian

--------------------------------------------------------------
For more watch the whole video and also leave a feedback Comment :)

https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in


#indianinafghanistan #afghanistanIndia #travelafghanistan",2256884,54577,11921
8,UCgilhqoyZrXV2EBlaaAtVaw,_dYpSxkrBd0,2019-06-22T04:00:06Z,AFGHANISTAN'S LOVE FOR INDIANS - KABUL NIGHT BAZAARS 🇮🇳♥️🇦🇫,"SUBSCRIBE to our channel:
http://bit.ly/NomadicIndian

Hello Guys,

Kabul - The capital of Afghanistan. After exploring Kabul during day time, it was time for dinner & street hoping in Kabul during the evening. I must say, I was surprised after seeing the night scene & streets. The first thing they were clean as compare to India, and it doesn’t look like Afghanistan, which I have seen on television or newspapers.  We were roaming around the streets till 11:30pm, and everything was normal. We went for kebabs, Icecream & for some other food. It really was an enjoyable experience for me.

In this video, I have used music from Epidemic sounds.

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian

————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd

Action Camera:-  https://amzn.to/2LelQkc

Microphone:- https://amzn.to/2DTqU7J

Laptop:-https://amzn.to/2Lcfh1w

Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD  ————————————

Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card
32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD :-
1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ————————

BackPack:- https://amzn.to/2J8TmWm

Laptop Bag:- https://amzn.to/2J8Ghwj

Sleeping Bag:- https://amzn.to/2UPdyip

Camping Tent:- https://amzn.to/2VDunkI

Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories   ———————————

Power Bank:- https://amzn.to/2LhyVtc

Go Pro Battery:- https://amzn.to/2VBZmxG

Go Pro Charger :- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6

Selfie Stick:- https://amzn.to/2Ld4rZ3

Gorilla Pod:- https://amzn.to/2DHYoWq

——————————
If you want to see all my product recommendations, you should check out my storefront at Amazon.
https://www.amazon.in/shop/nomadic.indian

--------------------------------------------------------------
For more watch the whole video and also leave a feedback Comment :)

https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in


#indianinafghanistan #afghanistanIndia #travelafghanistan",2239998,67589,6332
9,UCgilhqoyZrXV2EBlaaAtVaw,ikL-yny-6HQ,2018-03-29T13:30:22Z,38 HOURS OF HITCHHIKING - CHENNAI TO MUMBAI,"Hey Guys,
Click here to support my channel:
http://bit.ly/2JoDUWb

In this Video, I have shared my experiences of my longest hitchhiking, which I have done from Chennai to Mumbai & it was of almost 1400 km. It took me around 38 hours & during these 38 hours, I got a lift in around 15 vehicles.
It was an amazing journey.

Also, check out my Amazon Storefront.

https://www.amazon.in/shop/nomadic.indian

————————Equipment I use ———————

Primary Camera:- https://amzn.to/2H1Nvjd

Action Camera:-  https://amzn.to/2LelQkc

Microphone:- https://amzn.to/2DTqU7J

Laptop:-https://amzn.to/2Lcfh1w

Wide Angle Lens :-https://amzn.to/2Lg0pPE

Memory Cards & HDD  ————————————

Go Pro Memory Card
64 GB:- https://amzn.to/2J5DMuE
128 GB:- https://amzn.to/2DFOvso

DSLR Memory Card
32 GB:- https://amzn.to/2V62zpI
64 GB:- https://amzn.to/2V62Dps

HDD :-
1 TB:- https://amzn.to/2Ja8AKW
2 TB:- https://amzn.to/2DJ0kxR

Bags & Camping Equipment. ——————————

BackPack:- https://amzn.to/2J8TmWm

Laptop Bag:- https://amzn.to/2J8Ghwj

Sleeping Bag:- https://amzn.to/2UPdyip

Camping Tent:- https://amzn.to/2VDunkI

Trekking Shoes:- https://amzn.to/2VBEarl

Other Accessories   ———————————

Power Bank:- https://amzn.to/2LhyVtc

Go Pro Battery:- https://amzn.to/2VBZmxG

Go Pro Charger :- https://amzn.to/2USq4h9

Go Pro Accessories Kit:- https://amzn.to/2LgFHz6

Selfie Stick:- https://amzn.to/2Ld4rZ3

Gorilla Pod:- https://amzn.to/2DHYoWq

——————————
If you want to see all my product recommendations, you should check out my storefront at Amazon.
https://www.amazon.in/shop/nomadic.indian

--------------------------------------------------------------
For more watch the whole video and also leave a feedback Comment :)

https://www.facebook.com/nomadic.1ndian
https://www.instagram.com/nomadic.indian
https://www.twitter.com/nomadic_1ndian
http://www.nomadicindian.in",2218867,56199,1738
