,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCFibxqea7JmKpUWwStpl8bA,O5DT3-nn0-8,2016-01-15T11:20:49Z,Huansthan - Rajasthan Through Huan's eyes,"Cradled in the Aravalli range, Kumbalgarh Fort is the second longest wall in the world. The Great Wall away from China, this is where Huan found her Rajasthan. Come, explore Rajasthan through your eyes.

Length: 60 Seconds
Language: Hindi

http://tourism.rajasthan.gov.in/kumbhalgarh-fort.html",17329036,47917,2458
1,UCFibxqea7JmKpUWwStpl8bA,hxR1oy1BBZ8,2017-12-06T09:09:05Z,MeeraSthan English,,975685,388,16
2,UCFibxqea7JmKpUWwStpl8bA,598oeP3EOoQ,2017-09-29T08:52:52Z,#TeejSthan,"'Teej' as we saw it. For those who did not, here's a reason for you to join us the next time. #TeejSthan #MyRajasthan 
Video by: Anchit Natha",776023,155,7
3,UCFibxqea7JmKpUWwStpl8bA,0R2Kbp3gSwM,2018-05-21T07:39:00Z,Rajasthan Tourism - International Tourist Testimonial - AurelioSthan,,635778,139,16
4,UCFibxqea7JmKpUWwStpl8bA,7kd4d1KOMAA,2016-01-15T11:21:46Z,Janesthan- Rajasthan through Jane's eyes,"They say beauty lies in the journey and not in the destination. And that's exactly how Jane found her Rajasthan, when a little diversion on NH-76 led her to the breathtaking view of Garadia Mahadev. Come, explore the lesser known facets of Rajasthan.

Length: 60 Seconds
Language: Hindi

http://tourism.rajasthan.gov.in/kota/40/garadia-mahadev-temple",479050,2518,126
5,UCFibxqea7JmKpUWwStpl8bA,vFgELG79ZNM,2016-01-15T11:19:45Z,Aryasthan - Rajasthan Through Arya's eyes,"When wander lust takes you to the corners of Rajasthan, you wish to spot a Jugaad. Right in between the deserts of Thar, this is where Arya found his Rajasthan. Come, explore the lesser known facets of Rajasthan. 

Length: 90 seconds
Language: Hindi
http://tourism.rajasthan.gov.in/",464686,2373,126
6,UCFibxqea7JmKpUWwStpl8bA,oaPp-i2VkW8,2018-05-09T13:08:52Z,15 SEC HAUNTED RAJASTHAN TOURISM,,401295,98,12
7,UCFibxqea7JmKpUWwStpl8bA,HHse1t-OUqM,2016-01-15T11:19:28Z,Meerasthan- Rajasthan through Meera's eyes,"Amidst the clear blue skies, filled with colorful hot air balloons. This is where Meera found her Rajasthan. It was like gliding through a fairy tale. Come, explore the lesser known side of Rajasthan through your eyes.  

Length: 45 seconds
Language: Hindi
http://tourism.rajasthan.gov.in/adventure",395357,1152,56
8,UCFibxqea7JmKpUWwStpl8bA,PAZ4vGrKFs4,2016-12-22T10:36:34Z,RT HINDI KOTA 20 SEC,,369762,255,10
9,UCFibxqea7JmKpUWwStpl8bA,eu-_RrCQ7fI,2016-01-15T11:21:22Z,Binoysthan - Rajasthan Through Binoy's eyes,"Every region of Rajasthan has a story to tell, however Kuldhara had something more. Was it haunted? He knows not but this is surely where Binoy found his Rajasthan. Come, explore the lesser known facets of Rajasthan.

Length: 60 Seconds
Language: Hindi

http://tourism.rajasthan.gov.in/",364524,866,61
10,UCFibxqea7JmKpUWwStpl8bA,CSChfLZa2bw,2017-12-06T09:11:08Z,MeeraSthan German,,341324,226,0
11,UCFibxqea7JmKpUWwStpl8bA,sGeAizvl_Vo,2018-05-09T13:08:52Z,15 SEC FORT RAJASTHAN TOURISM,,295220,275,16
12,UCFibxqea7JmKpUWwStpl8bA,GTgBiLfFXko,2016-09-08T08:08:59Z,Musicsthan – A musical journey through Rajasthan,"A visit to the royal state of Rajasthan offers you fascinating landscapes, adventures, cuisines and of course the captivating music. Come, embark on this multi-faceted, musical journey across the golden sands. Here’s a glimpse of what’s in store for you.",200774,3298,167
13,UCFibxqea7JmKpUWwStpl8bA,Ekys7LFfo20,2016-12-22T10:38:31Z,RT 20sec 'Bike',,197110,82,5
14,UCFibxqea7JmKpUWwStpl8bA,8wpL3RtHAAc,2016-01-15T11:20:01Z,Sands of Thar unveiling Rajasthan,"Experience the potpourri of heritage and culture of Rajasthan put together by this artistic sand art piece. Watch the mesmerizing sand grains unveil the Rajasthan Tourism logo and reintroduce this vibrant and colorful state.

Length: 50 Seconds
http://tourism.rajasthan.gov.in/",179331,1266,43
15,UCFibxqea7JmKpUWwStpl8bA,zR4rTZFSVX0,2018-05-09T13:08:52Z,RAJASTHAN TOURISM - ARYASTHAN 15 SEC,,117658,161,6
16,UCFibxqea7JmKpUWwStpl8bA,4IEOrVD0haw,2016-06-16T10:12:51Z,Rajasthan – India’s Incredible Wonderland,"When in Rajasthan, live the life of the royals. When in Rajasthan, explore the historic moments that bards yet sing about. When in Rajasthan, watch the big cat stroll across the forest. When in Rajasthan, experience! Discover Rajasthan, India’s Incredible Wonderland.

http://tourism.rajasthan.gov.in/home.aspx",114652,1330,70
17,UCFibxqea7JmKpUWwStpl8bA,1SX3JyKJ8sM,2022-07-28T06:26:28Z,Statue of Belief,"Visit Nathdwara to witness the 'Statue of Belief', the tallest statue of Lord Shiva in the world.
This magnificent statue is a sight to behold, standing 351 feet tall.

#nathdwara #Rajsamand #udaipur #shivastatue  #mahadev #wondersofrajasthan #travelplaces #monsoon #placesofrajasthan #amazingrajasthan #explorerajasthan #travelrajasthan #rajasthan #rajasthantourism",102643,12261,184
18,UCFibxqea7JmKpUWwStpl8bA,fB6Hldfkx60,2016-12-22T10:36:50Z,RT HINDI FORT 20 SEC,,68975,43,8
19,UCFibxqea7JmKpUWwStpl8bA,0olx3f_S7xs,2018-11-09T17:15:47Z,Marwar Festival ft. DJ Tejas - Rajasthan Tourism,,59902,1627,53
20,UCFibxqea7JmKpUWwStpl8bA,DGsyc0cHUqw,2018-11-28T10:12:18Z,Barmer - Rajasthan Tourism,"Barmer is among the larger districts in Rajasthan. Being in the western part of the state, it includes a part of the Thar Desert. Jaisalmer is to the north of this district while Jalore is in its south. Pali and Jodhpur form its eastern border and it shares a border with Pakistan in the west. Partially being a desert, this district has a large variation in temperature. The temperature in summer can rise up to 51 °C and falls to 0 °C in winter. Luni is the longest river in Barmer district. After travelling a length of almost 500 km, it passes through Jalore and merges in the marshy land of Runn of Kutch. 

Check out the video to see what Barmer has to offer to life.

http://www.tourism.rajasthan.gov.in/barmer.html

▶Join us on these Social Media Platforms:

Facebook: https://www.facebook.com/rajasthantourism

Twitter: https://twitter.com/my_rajasthan

Instagram: https://www.instagram.com/rajasthan_tourism 

Vimeo: https://vimeo.com/rajasthantourismchannel

Pinterest : https://in.pinterest.com/rajasthantourism/

Tumblr : https://www.tumblr.com/blog/rajasthantourism

Snapchat: RajasthanT


#Barmer #RajasthanTourism #MyRajasthan #JaaneKyaDikhJaaye",58769,380,14
21,UCFibxqea7JmKpUWwStpl8bA,dSv3SAmeuHg,2016-12-22T10:37:06Z,RT HINDI BALLOON 20 SEC,,57029,40,1
22,UCFibxqea7JmKpUWwStpl8bA,fS9ekef8PBM,2019-03-10T14:01:04Z,Jaisalmer Desert Festival 2019 | Rajasthan Tourism,"In the sand storm of human emotions, every quiet sand grain starts spiralling with ecstasy. 
The Department of Tourism organised the Desert Festival from 17th-19th February in Jaisalmer. Rajasthani men and women, dressed in their best and brightest, dance and sing ballads. The festival was filled with traditional musicians, acrobats, camel tattoo shows, camel polo, traditional processions, camel mounted bands and more!

http://www.tourism.rajasthan.gov.in/fairs-and-festivals.html

#DesertFestival2019 #MyRajasthan #PadharoMhareDesh",45965,596,17
23,UCFibxqea7JmKpUWwStpl8bA,unvMXwBqZ-s,2018-04-30T10:48:52Z,HuanSthan 30 Sec,,39703,533,13
24,UCFibxqea7JmKpUWwStpl8bA,z5aLtEB-yTc,2016-12-22T10:37:48Z,RT Musicsthan 20sec,,31129,59,3
25,UCFibxqea7JmKpUWwStpl8bA,_v8nrN7I_tw,2021-08-08T04:49:16Z,Palace on Wheels,"For a truly royal journey, aboard the Palace on Wheels, whose lavish interiors and world-call amenities promise an unforgettable experience.
.
#Rajasthan #IncredibleIndia #DekhoApnaDesh #Shorts #Youtube
.
Know more about us-
Website: http://www.tourism.rajasthan.gov.in/
Instagram: https://www.instagram.com/rajasthan_t...
Facebook: https://www.facebook.com/rajasthantou...
Twitter: https://twitter.com/my_rajasthan
Pinterest: https://in.pinterest.com/rajasthantou...",29972,1222,6
26,UCFibxqea7JmKpUWwStpl8bA,I2PCUl9RgcY,2018-04-10T15:09:07Z,Rajasthan Tourism - International Tourist Testimonial - Santiagosthan,,27676,294,4
27,UCFibxqea7JmKpUWwStpl8bA,2ngYLx99Eto,2018-06-07T09:33:05Z,"Street Food Of Rajasthan at Masala Chowk, Jaipur",,24583,101,8
28,UCFibxqea7JmKpUWwStpl8bA,hsZUHwRPUaU,2018-01-12T12:34:05Z,Pushkar Fair II 2018 Teaser,,23438,79,3
29,UCFibxqea7JmKpUWwStpl8bA,sr2bYXrLLtI,2021-07-12T12:49:34Z,Folk Dances of Rajasthan,"Groove to the vibrant rhythms of the folk dances of #Rajasthan from this captivating video. Which one of these dance forms is your most favourite? Let us know in the comments below.
.
#FolkDances #IncredibleIndia #DekhoApnaDesh
.
Know more about us-
Website: http://www.tourism.rajasthan.gov.in/
Instagram: https://www.instagram.com/rajasthan_t...
Facebook: https://www.facebook.com/rajasthantou...
Twitter: https://twitter.com/my_rajasthan
Pinterest: https://in.pinterest.com/rajasthantourism",22872,187,13
30,UCFibxqea7JmKpUWwStpl8bA,RoYT8ODH3aQ,2019-09-10T06:34:37Z,A Trip To Goram Ghat,,21376,222,5
31,UCFibxqea7JmKpUWwStpl8bA,ZqQiqDvAw-Q,2018-04-10T15:07:17Z,Triptisthan,,19100,217,2
32,UCFibxqea7JmKpUWwStpl8bA,MBv6Q07o_7c,2019-06-10T07:17:35Z,A Journey Through Rajasthan,"A place with infinite gems, some hidden and some in plain sight. A place with valuable memories and priceless moments. The beautiful land of Rajasthan is the place which beckons you to come. 

#MyRajasthan #PadharoMhareDesh",19054,333,22
