,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCGeGhS_akOxBWQcSmje6B-w,OZ6RO0r3uHE,2023-03-26T11:30:09Z,My life's Biggest Decision 🫣 ! #tanyakhanijowshorts #travel #travelshorts,Officially rent-free & living my TRAVEL DREAM ! 🥹,9104917,434110,2327
1,UCGeGhS_akOxBWQcSmje6B-w,cTxPiPyNrgU,2021-05-19T15:04:00Z,"Kerala's best beaches in Varkala! Cliff cafes, sea food and things to do w/ Tanya Khanijow","Kerala is one of the most beautiful states in India for traveling and a road trip. In this series  we are going to cover 5 main destinations by road - Wayanad, Athirapally falls, Vagamon, Varkala, and Alleppey. In this episode, I'm in Varkala, with some of the best beaches! It has places like black sand beach, and North Cliff, restaurants like Inda Cafe and Kerala God's Own Country Kitchen. 

I actually traveled to Kerala from Karnataka and took an RT-PCR negative report with me while travelling and in this episode, I stayed at Cliff Stories, which is a really nice place for relaxing and staying at. 😀

This video is sponsored by Skillshare!
Give a new direction to your creative skills, first 5000 subscribers can avail a free trial on Skillshare using this link - 

https://skl.sh/tanyakhanijow05211

You may skip to the following points in the video for more information:

0:00 Introduction
0:24 Day 1
0:49 A mini-tour of Cliff Stories (place of stay)
1:11 Sometimes it’s okay to not have a travel plan
1:20 Don’t forget this if you want to see around
1:39  North Cliff Market
1:57 Come here if you’re a seafood lover
2:11 What to expect in the market
2:35 Most artsy cafe of the town!
3:26 Skillshare ad
5:07 Day 2
5:43 Varkala scooter rent
6:01 Lunch with a gorgeous beach view
7:03 Black Sand Beach (really!?)
7:43 Riding the ocean on a hand-stitched boat
9:35 Dolphins! There you see!
9:55 Varkala brings out the curious kid in you
10:43 A rejuvenating sunset to die for
11:59 I ate what local fishermen eat in Kerala
12:35 Day 3
12:45 Planning of activities
13:15 Why swimming & boogie-boarding are must-dos on beaches
15:43 Best place for lunch in Varkala (vegetarians, take note)
16:53 Stunning sunset at Kappil Beach
17:55 The truth behind travel packing
18:22 Surfing at Varkala (Bucket-list alert)
20:30 Things to know about surfing at Kappil Beach
21:19 A pro surfer sharing his experience 
22:07 An ode to Kappil Beach
22:52 The End


The Ultimate KERALA Itinerary Guide 2021: https://www.tanyakhanijow.com/blog/kerala-itinerary-guide

My vlog channel - https://www.youtube.com/channel/UCm9S-w2OphEKPHXff1tERFA

Let's connect?  

● Instagram: https://www.instagram.com/tanyakhanijow/
● Pinterest: https://in.pinterest.com/tanyakhanijow/
● Facebook: https://www.facebook.com/TanyaKhanijo...
● Twitter: https://twitter.com/TanyaKhanijow
● Website: https://www.tanyakhanijow.com/
▶ Check out my gear on Kit: https://kit.com/tanyakhanijow


Music - Available on Epidemic Sound
Sign up here - http://share.epidemicsound.com/q9Wtq",4510812,76215,5507
2,UCGeGhS_akOxBWQcSmje6B-w,4QnP18OPbJk,2023-06-20T13:08:10Z,Staying FIT in Delhi NCR with Parkour and Aerial Yoga! This is SO fun.. 😍,"I'm in Delhi NCR for two weeks in between my travels. And I'm seriously looking to work on my fitness these days. I like to keep my workouts fun and engaging, so picking up a new activity always helps. I usually do this while travelling as well. I mix up my days with a lot of walking, fun activities and staying active. 

The best part is that I am also texting out the Mahindra XUV 300 while I'm here, and driving around long distances around Delhi is always a pleasure. Plus the driving experience itself is amazing. Watch the whole video to find out how I made the most of this opportunity while also enjoying activities like Parkour, Aerial Yoga, and Wall Climbing. 

#AD #LoveForThrill #MahindraXUV300 
https://auto.mahindra.com/suv/xuv300

It was a fun and exhausting day for sure! Would you like to try any of these activities?

1. Parkour w/ Vanarshala
Find them here: https://maps.app.goo.gl/GP3h5669takGpEpb8?g_st=ic
Instagram: https://instagram.com/vanarshala?igshid=MzRlODBiNWFlZA==

2. Aerial Yoga: 
Find them here: https://maps.app.goo.gl/T6K5FCrSrn8mWzvy8?g_st=ic
Instagram: https://instagram.com/studioekko?igshid=MzRlODBiNWFlZA==

3. Climb Central: 
Find them here: https://maps.app.goo.gl/hYvnffyi8af2y4z48?g_st=ic
Instagram: https://instagram.com/climbcentraldelhi?igshid=MzRlODBiNWFlZA==

▶ Check out my gear on Kit: https://kit.co/tanyakhanijow

Let's connect on Social Media?
● Instagram: https://www.instagram.com/tanyakhanijow/
● Facebook: https://www.facebook.com/TanyaKhanijowtravels
● Pinterest: https://in.pinterest.com/tanyakhanijow/
● Twitter: https://twitter.com/TanyaKhanijow
● Website: https://www.tanyakhanijow.com/

I have been using Epidemic Sound for selecting copyright free music for my videos, since three years now. If you sign up using my link, it'll help me earn a little commission out of your purchase. Link - http://share.epidemicsound.com/38jRTp",4180202,10590,483
3,UCGeGhS_akOxBWQcSmje6B-w,rKg-ZFw9Vjg,2022-07-23T11:30:21Z,"Husky cafe in Bangkok, Thailand | #tanyakhanijowshorts #travelshorts #Thailand","Full YT video: https://youtu.be/7dB2wXzeHDM

When I was in Bangkok, I really wanted to check this place out for myself! For an entry fee of 350 Baht, you get to play with these adorable dogs for 1 hour!! The place is called True love cafe. But speaking objectively, here are some things you must know. 

What I liked about the place: 
✨ The dogs are very very well kept and happy, with a full-time staff dedicated to their needs. They get to eat well, play, run around etc. 
✨ The owner treats each one of them like her kids and so they are very well loved. 
✨ Each dog has a distinct personality with names that suit them and you can actually get to know them. 
✨ Every dog was bred at the facility over the course of 11 years or so, without exploitation. 

What I mildly disliked: 
✨ The dogs seemed to be trained for photos, which is both adorable and slightly questionable of us humans. Anyhow, I spent a good evening with these cuties and had a lot of fun getting to know them as well. 
✨ I visited this place at a time when it was empty, but it is known to be a tourist hot spot with long lines that extend to the parking lot, for visitors who want to see the dogs. So visit at your own discretion. 😄

Also, not me getting influenced by my boyfriend to visit the True love cafe! 🤪 Thanks to the amazing, handsome, humble, down-to-earth, best person ever Eshan (Totally not narrated by him, himself) 

.
.
#travelvlogger #tanyakhanijow #travelblogger #travel #thailand #thailandtravel #truelovecafe #trending #foryou #explorepage #husky #huskyphotography #huskylovers #huskyphotography #thailandtrip #bangkok #thailandinstagram #thailandonly #indiantravelblogger #indiantravelgram",4050550,210973,401
4,UCGeGhS_akOxBWQcSmje6B-w,2WmGqGBWTm8,2023-03-01T11:30:01Z,SKY DIVING in Abu Dhabi !!! #travelshorts #tanyakhanijowshorts,It was exhilarating for sure and something that maybe I’d like to learn for myself for SURE!! And I think Abu Dhabi is a great place to both experience tandem flights and learn!,3229538,108328,305
5,UCGeGhS_akOxBWQcSmje6B-w,ehmsJLZlCZ0,2018-12-21T13:30:43Z,Ep 1| Travelling through North East India | Off To Arunachal | The Journey Begins | Pasighat,"The journey to Arunachal, North East India begins with a train journey from Guwahati to Murkongselek. From here we head to Pasighat. And I and my travel companions are just getting started by exploring the tiny glimpse of Arunachal that we have so far. From markets to bridges, the adventure will only get better from here. :)

Next Video: https://www.youtube.com/watch?v=d8mKGr8Ri-k

Subscribe to my channel and hit the bell Icon to stay notified! 

Follow me on Social Media - 

● Instagram: https://www.instagram.com/tanyakhanijow/
● Facebook: https://www.facebook.com/TanyaKhanijo...
● Twitter: https://twitter.com/TanyaKhanijow
● Website: https://www.tanyakhanijow.com/
▶ Check out my gear on Kit: https://kit.co/tanyakhanijow

Music - Epidemic Music

If you heard of Epidemic sound through me, Sign up by using my link, to get 1 month of free subscription -  http://share.epidemicsound.com/q9Wtq 

My trip to the unknown Arunachal Pradesh from November 3 to November 14, 2018 was organised by ChaloHoppo, a travel company in Northeast India. If you are planning a trip to NE India too, I would recommend that you exercise personal discretion and go through all ratings and reviews once personally as well. Cheers!  :)


Shot by me + Travellers
Edited by Me on Premiere Pro CC 2019",3136583,76867,4896
6,UCGeGhS_akOxBWQcSmje6B-w,A6msCWYhUQw,2023-03-03T11:30:03Z,Have you tried these Travel Products !? #travelshorts #tanyakhanijowshorts,"These are some products you can look to add to your travel kit along with its prices:

✨ Compression cubes - ₹1000
shorturl.at/hEFHM
✨ Squeeze bottles - ₹630
shorturl.at/dlzMR
✨ Travel Carabiner - ₹275
shorturl.at/blJKW",3033536,119134,224
7,UCGeGhS_akOxBWQcSmje6B-w,v1gm-W4biGU,2019-11-13T12:54:03Z,Himba Tribal Women (Africa) & their lifestyle .. I'm Moved! Namibia Vlog 04 | Opuwo | Tanya Khanijow,"WELCOME TO NAMIBIA!  The Himba Tribe is one of the most prominent and fascinating tribes of Namibia, known the world over for preserving their unique cultural identity and age-old traditions for living in a low-water ecosystem. During my road trip across Namibia, I took a little detour to go meet the Himba Tribals in an attempt to understand their lifestyle a little better. This is my way of documenting the experience for the purpose of education about a different culture. 

WARNING: The Himba ladies are known culturally to have bare exposed chests as part of their attire. While I didn't wish to shock or disrespect my viewers, I do hope they view this video entirely from the perspective of education about a different kind of lifestyle. The dressing sense of the Himba women is in no way a sexual depiction of nudity as it is pretty culturally accepted in their vicinity. Hence I chose to leave the video as it is without blurring any bits. As part of my creator responsibility, I have demonetized this video. 

Travel courtesy: www.wildplanets.com
Instagram: @explore_wild_planets
You can reach out to them for a similar tour

Also, for a detailed blog about Namibia, you can check my BLOG POSTS here -
1.Namibia Tourist Visa application for Indians
https://www.tanyakhanijow.com/blog/2019/8/31/namibia-visa-on-indian-passport
2.Namibia 14 day Road Trip Itinerary: The Master Guide to a Self-drive Adventure!
https://www.tanyakhanijow.com/blog/2019/9/18/namibia-self-drive-road-trip-itinerary-the-master-guide-to-travel-in-phenomenal-namibia
3.Namibia: Where to find Drool-worthy Food
https://www.tanyakhanijow.com/blog/where-to-find-droolworthy-food-in-namibia


ollow me on Social Media - 

● Instagram: https://www.instagram.com/tanyakhanijow/
● Facebook: https://www.facebook.com/TanyaKhanijo...
● Twitter: https://twitter.com/TanyaKhanijow
● Website: https://www.tanyakhanijow.com/
▶ Check out my gear on Kit: https://kit.co/tanyakhanijow


Music - Available on Epidemic Sound
Sign up here - http://share.epidemicsound.com/q9Wtq


Video Edited on Premiere Pro CC 2019

Follow me on Social Media - 

● Instagram: https://www.instagram.com/tanyakhanijow/
● Facebook: https://www.facebook.com/TanyaKhanijo...
● Twitter: https://twitter.com/TanyaKhanijow
● Website: https://www.tanyakhanijow.com/
▶ Check out my gear on Kit: https://kit.com/tanyakhanijow


Music - Available on Epidemic Sound
Sign up here - http://share.epidemicsound.com/q9Wtq

Song: Waterslide
Artist: Loving Caliber
Licensed to YouTube by
Epidemic Sound; Epidemic Sound Publishing

Song: Hollywood Hotel
Artist: DJ DENZ The Rooster
Licensed to YouTube by
Epidemic Sound (on behalf of Epidemic Sound); Epidemic Sound Publishing

Song
Threads
Artist
Ebb & Flod
Licensed to YouTube by
Epidemic Sound; Rumblefish (Publishing), Epidemic Sound Publishing, and 4 music rights societies",2805094,53798,3511
8,UCGeGhS_akOxBWQcSmje6B-w,_pZL6hyeVv0,2023-01-11T11:30:08Z,"📍LAN HA BAY , VIETNAM🇻🇳 #travelshorts #travelblogger",Sometimes your fears are smaller than how big and beautiful the world is!,2732254,56174,429
9,UCGeGhS_akOxBWQcSmje6B-w,_lcOX55Ef70,2019-04-16T14:50:42Z,Solo in Paro Bhutan | Tiger's Nest visit | Bhutan Travel Guide | Bhutan Series Ep 1 | Tanya Khanijow,"Here’s presenting the first part of the Bhutan Series Episode in Paro. I went straight to Paro as first part of my road trip in the country. The drive from Phuntsholing took about 4 hours. 
 
The entire budget of my Bhutan trip was close to  INR 25k. You can carry cash everywhere in Indian currency in Bhutan as it is accepted. Some things about Paro below:

1. The place where I stayed at in Paro is called Ama’s Village Lodge. You can book the place here - https://www.booking.com/s/32_8/e9f2a7ab

2.  The cost of entry to Taktsang Goempa is INR 500 and a round trip with any driver will cost INR 1000 from your lodge

3. You can contact Mr. Yonten Norbu for driving you around Bhutan if you are visiting. His number is +975 17672515 , my experience with him was extremely nice. He was a perfect gentleman who ensured my safety and also made sure my experience in Bhutan was memorable.
 
4. If you are visiting Bhutan, I would highly advice you to get a local sim for contacting tour agencies or driver. A local sim will be available for INR 200 at Phuntsholing. 

5. Other places that you can visit in Paro are - Paro Dzong and you can get a Hot Stone bath which is very popular in the area

Let me know in comments if you have any more questions. 

Also, for a detailed blog about Bhutan, you can check my BLOG POSTS here -
1. Bhutan 7 Days Itinerary - The best Solo Travel Experience Guide! 
https://www.tanyakhanijow.com/blog/2019/7/27/bhutan-travel-guide
2.Visiting Bhutan from India? - Some Frequently Asked Questions!
https://www.tanyakhanijow.com/blog/2019/7/31/travelling-to-bhutan-from-india-some-frequently-asked-questions
3.Bhutan Entry Permit for Indians: Documents, FAQs & Tips for a Solo Trip
https://www.tanyakhanijow.com/blog/2019/7/16/bhutan-entry-permit-for-indians
4.Indians To Pay SD Fee From July 2020 - Drop Everything & Plan Your Bhutan Trip Right Now
https://www.tanyakhanijow.com/blog/2020/2/17/bhutan-tourism-levy-and-exemption-bill-2020




Follow me on Social Media - 

● Instagram: https://www.instagram.com/tanyakhanijow/
● Facebook: https://www.facebook.com/TanyaKhanijo...
● Twitter: https://twitter.com/TanyaKhanijow
● Website: https://www.tanyakhanijow.com/
▶ Check out my gear on Kit: https://kit.co/tanyakhanijow


Music - Available on Epidemic Sound
Sign up here - http://share.epidemicsound.com/q9Wtq


Video Edited on Premiere Pro CC 2019",2685841,53167,2908
10,UCGeGhS_akOxBWQcSmje6B-w,iuhq2Hq8MKc,2022-07-26T11:30:19Z,"iPhone Vs GoPro, which is better for travel content creation? #travelshorts #TanyaKhanijowshorts",,2538015,133633,908
11,UCGeGhS_akOxBWQcSmje6B-w,yvn79Rv0F48,2018-07-03T15:11:46Z,"Backpacking In Meghalaya | NorthEast India Trip | Sohra, Living Roots Bridge | Tanya Khanijow","In this video I explored North East India, starting from Guwahati, Shillong, Cherrapunji (Sohra) and Double Decker Living Roots Bridge! It was a spontaneous Backpacking trip and amazing fun! Hope you enjoy the video. 

I upload new videos every Tuesday And Saturday. So subscribe to my channel and hit the bell Icon to stay notified! 

For all behind the scenes of my travels, you can follow me on instagram where I'm the most active with stories and image posts.  

Editing software, Premiere Pro CC 2018

▶ Check out my gear on Kit: https://kit.co/tanyakhanijow

I'm very interactive on all social media, so let's talk? -

● Instagram: https://www.instagram.com/tanyakhanijow/
● Facebook: https://www.facebook.com/TanyaKhanijo...
● Twitter: https://twitter.com/TanyaKhanijow

The equipment that I use - https://goo.gl/eEPmGK

Music - 

Only Us - Paperwhite 

Listen on Spotify here!
http://bit.ly/pwonlyus
www.facebook.com/paperwhitemusic
Twitter - @paperwhitemusic
Instagram - @paperwhitemusic

Title: Ooh Boy (Future James Remix)
Artist: Rose Royce
Download: https://goo.gl/SkDVrr",2365127,70125,3971
12,UCGeGhS_akOxBWQcSmje6B-w,6-bIEksEfBc,2018-09-11T12:19:35Z,South Goa beyond Beaches | South Goa Vlog | Tanya Khanijow,"I had the opportunity to travel to South Goa lately in the month of August which is typically the monsoon season. This vlog is a compilation of the things I did in South Goa besides the wonderful beaches that the place is famous for.  

Subscribe to my channel and hit the bell Icon to stay notified! 

READ: Goa Reopens For Domestic Tourists - Safety Guidelines & Things To Remember
https://www.tanyakhanijow.com/blog/2020/7/3/goa-reopens-for-domestic-tourists-safety-guidelines-amp-things-to-remember

I'm very interactive on all social media, so let's talk? -

● Instagram: https://www.instagram.com/tanyakhanijow/
● Facebook: https://www.facebook.com/TanyaKhanijo...
● Twitter: https://twitter.com/TanyaKhanijow
● Website: https://www.tanyakhanijow.com/

Music - Epidemic Sound 


Shot by - Myself with the help of fellow travelers
Edited by - Me on Premiere Pro CC 2018
Shot on - Panasonic GH5
▶ Check out my gear on Kit: https://kit.com/tanyakhanijow",2307275,43761,2552
13,UCGeGhS_akOxBWQcSmje6B-w,F9K2ue10JKM,2023-05-12T04:30:08Z,Air India Business Class tour! What do you get? #BusinessClass #travelblogger,"What excites you the most when it comes to taking a business class flight?

I kid you not, I was really impressed and felt truly pampered at 30,000 ft with @airindia.in

Here’s what you get:

✅ Access to business class lounge
✅ Warm smiles and great hospitality
✅ Hot towels for refreshment
✅ A food and beverage menu where you can pick your meals from
✅ Welcome drink
✅ Amenities kit by Tumi
✅ Noise canceling headphone
✅ Reclining seats
✅ Excellent food curated by chefs at Taj!
✅ Mattress and comforter
✅ Lounge wear with comfy slippers
✅ A very comfortable sleep!

Tell me what you think of the experience! P.S. full YouTube video coming soon!",2115812,137833,649
