,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCArju4jBE3zv1Ndrv7AQ3tA,8rJ4i0X7ECI,2017-01-20T07:00:15Z,"West Bengal Tourism, Baul Songs, Birbhum","From our rich culture of diversity to our grand tradition of inclusion, everything in Bengal is defined by a touch of sweetness. The Bengali spirit is always rooted in joy and a constant celebration of life. That’s why we are the sweetest part of India. We are Bengal.",1926958,1269,36
1,UCArju4jBE3zv1Ndrv7AQ3tA,6CjwVHGlXho,2017-01-20T09:51:25Z,"West Bengal Tourism, the sweetest part of India.","From inventing Rosogolla to creating Sandesh, Bengal’s glory for sweets is as old as the land itself. But sweetness is not restrained to just our palates. It finds its way into our language, culture and hospitality, leaving the overwhelmed traveller wanting for more.  Our values are rooted in joy and a constant celebration of the Bengali spirit. That’s why we are the sweetest part of India. We are Bengal.",1828363,14202,1023
2,UCArju4jBE3zv1Ndrv7AQ3tA,5hKLAL9Kf_A,2022-01-03T15:28:34Z,Birder’s Paradise of Gajoldoba,"Fly on the wings of feathered friends, down the tranquil waters of Teesta barrage to the Birder’s Paradise of Gajoldoba. 

Please follow all covid protocols.

#Gajoldoba #Teesta #Siliguri #BengalTourism #ExperienceBengal #Bengal #Travel #WestBengalTourism #DepartmentOfTourismWestBengal",905445,92,11
3,UCArju4jBE3zv1Ndrv7AQ3tA,0-ZerRrf0UM,2022-05-24T11:13:52Z,Visit Bishnupur - A feast for the eyes and ears,"West Bengal Tourism welcomes you to Bishnupur, an ancient kingdom that still offers the best combination of old and new. From magnificent terracotta artefacts to vibrant textiles to delicious cuisine and spectacular landscapes, Bishnupur has something for everyone. 

#Bishnupur #ExperienceBengal #WestBengalTourism #Travel #BengalTourism #Tourism #DepartmentOfTourismWestBengal #Terracotta #Textiles #TempleTown #Bengal",724475,87,2
4,UCArju4jBE3zv1Ndrv7AQ3tA,baiDAiizzlM,2021-10-03T08:45:12Z,Hills,"A surprise around every bend. Pathways and panoramas amid a profusion of peaks to leave you asking for more.

#Hills #Mountains #Bengal #Tourism #ExperienceBengal #BengalTourism #WestBengalTourism #Travel #DepartmentOfTourismWestBengal",547877,76,3
5,UCArju4jBE3zv1Ndrv7AQ3tA,lXe6E3x86Ac,2022-03-18T10:25:52Z,"Motijheel Park, Murshidabad","The area known as Motijheel, often called the cradle of British rule in India, was witness to a remarkable turning point in Indian history. A 350-acre oxbow lake (jheel) formed by an abandoned bed of the Bhagirathi, Motijheel got its name from extensive pearl cultivation during the Nawabi era, when the jheel was famous for raising golden tinted pearls extracted from the species of freshwater mussel known as margaritifera.

#MotijheelPark #Murshidabad #Motijheel #Bhagirathi #WestBengal #BengalTourism #WestBengalTourism #Bengal #ExperienceBengal #DepartmentOfTourismWestBengal",363159,198,13
6,UCArju4jBE3zv1Ndrv7AQ3tA,MGhg1_EV2Pg,2022-11-24T11:31:55Z,"KOLKATA CONNECT, Guided City Tour by Kolkata's iconic Double Decker","KOLKATA CONNECT, Guided City Tour by Kolkata's iconic Double Decker is back. 

Come with your friends and family to enjoy a laid back winter afternoon, for a guided tour through important landmarks of our very own City of Joy.

This service is available to book, for individuals, groups and families, this winter, on scheduled time, or on hourly basis, during the day. 

For booking please visit
www.wbtdcl.com
www.wbtourism.gov.in

For enquiry please contact Toll Free No. 18002121655

#BengalTourism
#ExperienceBengal
#WBTDCL 
#IconicDoubleDecker
#OpenRoofDoubleDecker
#GuidedCityTour
#KolkataConnect
#WinterIsHere",354621,93,4
7,UCArju4jBE3zv1Ndrv7AQ3tA,2kJQhs2SWdI,2021-02-12T11:51:53Z,Where Nature Meets Beauty- Gorumara National Park,"Gorumara National Park is not just about Indian one-horned rhinos, it is a home to some of the richest flora and fauna in the country. 

#GorumaraNationalPark #NationalPark #Dooars #NorthBengal #Bengal #Tourism #BengalTourism #ExperienceBengal #WestBengalTourism #Travel #DepartmentOfTourismWestBengal",291525,52,6
8,UCArju4jBE3zv1Ndrv7AQ3tA,XsQeCPMRzWg,2022-09-10T09:38:01Z,"Hazarduari Palace, Murshidabad","The Hazarduari palace in Murshidabad never ceases to impress visitors with the grandeur of its interior design and stunning architecture.

It was once a royal darbar and is now a museum and has a remarkable collection of armour, exquisite paintings, detailed portraits of the Nawabs, stunning Chinese ivory carvings, and several other priceless pieces of art. 

Built in the Greek style, this UNESCO World Heritage Site is a one-of-a-kind mansion with 114 rooms, 8 galleries and 1000 doors surrounded by lush greenery and a beautiful landscaped garden.

#Hazarduari #Murshidabad #IncredibleIndia #BengalTourism #WestBengal #Bengal #WestBengalTourism #Tourism #ExperienceBengal #DepartmentOfTourismWestBengal",286010,683,1
9,UCArju4jBE3zv1Ndrv7AQ3tA,yyiKvULmi6c,2021-08-13T06:52:35Z,"Gajoldoba, North Bengal","Eco tourism is about uniting conservation, communities, and sustainable travel. Gajoldoba in North Bengal combines all the above for a perfect eco-tourism trail.

#Gajoldoba #NorthBengal #ExploreBengal #BengalTourism #Bengal #ExperienceBengal #WestBengalTourism #WestBengal #DepartmentOfTourismWestBengal",278626,69,3
